Date,Open,High,Low,Close,Volume,OpenInt
1995-10-23,0.02663,0.02663,0.02663,0.02663,0,0
1995-10-24,0.02666,0.02666,0.02666,0.02666,0,0
1995-10-25,0.02682,0.02682,0.02682,0.02682,0,0
1995-10-26,0.02681,0.02681,0.02681,0.02681,0,0
1995-10-27,0.02681,0.02681,0.02681,0.02681,0,0
1995-10-30,0.02687,0.02687,0.02687,0.02687,0,0
1995-10-31,0.02687,0.02687,0.02687,0.02687,0,0
1995-11-02,0.02724,0.02724,0.02724,0.02724,0,0
1995-11-03,0.02757,0.02757,0.02757,0.02757,0,0
1995-11-06,0.02758,0.02758,0.02758,0.02758,0,0
1995-11-07,0.02816,0.02816,0.02816,0.02816,0,0
1995-11-08,0.02795,0.02795,0.02795,0.02795,0,0
1995-11-09,0.02817,0.02817,0.02817,0.02817,0,0
1995-11-10,0.02844,0.02844,0.02844,0.02844,0,0
1995-11-13,0.02849,0.02849,0.02849,0.02849,0,0
1995-11-14,0.02852,0.02852,0.02852,0.02852,0,0
1995-11-15,0.02856,0.02856,0.02856,0.02856,0,0
1995-11-16,0.02946,0.02946,0.02946,0.02946,0,0
1995-11-17,0.0306,0.0306,0.0306,0.0306,0,0
1995-11-20,0.0306,0.0306,0.0306,0.0306,0,0
1995-11-21,0.0306,0.0306,0.0306,0.0306,0,0
1995-11-22,0.0306,0.0306,0.0306,0.0306,0,0
1995-11-23,0.0306,0.0306,0.0306,0.0306,0,0
1995-11-24,0.0306,0.0306,0.0306,0.0306,0,0
1995-11-27,0.03052,0.03052,0.03052,0.03052,0,0
1995-11-28,0.03097,0.03097,0.03097,0.03097,0,0
1995-11-29,0.03054,0.03054,0.03054,0.03054,0,0
1995-11-30,0.03049,0.03049,0.03049,0.03049,0,0
1995-12-01,0.03048,0.03048,0.03048,0.03048,0,0
1995-12-04,0.03096,0.03096,0.03096,0.03096,0,0
1995-12-05,0.03114,0.03114,0.03114,0.03114,0,0
1995-12-06,0.03084,0.03084,0.03084,0.03084,0,0
1995-12-07,0.03134,0.03134,0.03134,0.03134,0,0
1995-12-08,0.03126,0.03126,0.03126,0.03126,0,0
1995-12-11,0.03134,0.03134,0.03134,0.03134,0,0
1995-12-12,0.03105,0.03105,0.03105,0.03105,0,0
1995-12-13,0.03119,0.03119,0.03119,0.03119,0,0
1995-12-14,0.03108,0.03108,0.03108,0.03108,0,0
1995-12-15,0.03131,0.03131,0.03131,0.03131,0,0
1995-12-18,0.03131,0.03131,0.03131,0.03131,0,0
1995-12-19,0.0313,0.0313,0.0313,0.0313,0,0
1995-12-20,0.03131,0.03131,0.03131,0.03131,0,0
1995-12-21,0.03131,0.03131,0.03131,0.03131,0,0
1995-12-22,0.03131,0.03131,0.03131,0.03131,0,0
1995-12-27,0.03131,0.03131,0.03131,0.03131,0,0
1995-12-28,0.0313,0.0313,0.0313,0.0313,0,0
1995-12-29,0.03152,0.03152,0.03152,0.03152,0,0
1996-01-02,0.03151,0.03151,0.03151,0.03151,0,0
1996-01-03,0.03151,0.03151,0.03151,0.03151,0,0
1996-01-04,0.03147,0.03147,0.03147,0.03147,0,0
1996-01-05,0.03157,0.03157,0.03157,0.03157,0,0
1996-01-08,0.03147,0.03147,0.03147,0.03147,0,0
1996-01-09,0.03159,0.03159,0.03159,0.03159,0,0
1996-01-10,0.03189,0.03189,0.03189,0.03189,0,0
1996-01-11,0.03141,0.03141,0.03141,0.03141,0,0
1996-01-12,0.03169,0.03169,0.03169,0.03169,0,0
1996-01-15,0.03208,0.03208,0.03208,0.03208,0,0
1996-01-16,0.0322,0.0322,0.0322,0.0322,0,0
