Date,Open,High,Low,Close,Volume,OpenInt
1984-01-09,19.645,19.645,19.645,19.645,0,0
1984-01-16,17.829,17.829,17.829,17.829,0,0
1984-01-23,18.067,18.067,18.067,18.067,0,0
1984-01-30,17.372,17.372,17.372,17.372,0,0
1984-02-06,17.484,17.484,17.484,17.484,0,0
1984-02-13,17.484,17.484,17.484,17.484,0,0
1984-02-20,17.32,17.32,17.32,17.32,0,0
1984-03-01,17.63,17.63,17.63,17.63,0,0
1984-03-05,16.893,16.893,16.893,16.893,0,0
1984-03-12,17.093,17.093,17.093,17.093,0,0
1984-03-19,17.193,17.193,17.193,17.193,0,0
1984-03-26,16.61,16.61,16.61,16.61,0,0
1984-04-02,17.283,17.283,17.283,17.283,0,0
1984-04-09,16.897,16.897,16.897,16.897,0,0
1984-04-16,16.994,16.994,16.994,16.994,0,0
1984-04-24,16.243,16.243,16.243,16.243,0,0
1984-05-02,16.552,16.552,16.552,16.552,0,0
1984-05-07,17.041,17.041,17.041,17.041,0,0
1984-05-14,16.941,16.941,16.941,16.941,0,0
1984-05-21,16.395,16.395,16.395,16.395,0,0
1984-05-28,16.395,16.395,16.395,16.395,0,0
1984-06-04,16.744,16.744,16.744,16.744,0,0
1984-06-11,17.195,17.195,17.195,17.195,0,0
1984-06-18,16.786,16.786,16.786,16.786,0,0
1984-06-25,17.195,17.195,17.195,17.195,0,0
1984-07-02,17.091,17.091,17.091,17.091,0,0
1984-07-09,17.987,17.987,17.987,17.987,0,0
1984-07-16,17.987,17.987,17.987,17.987,0,0
1984-07-23,19.236,19.236,19.236,19.236,0,0
1984-07-30,18.951,18.951,18.951,18.951,0,0
1984-08-06,18.344,18.344,18.344,18.344,0,0
1984-08-13,17.434,17.434,17.434,17.434,0,0
1984-08-20,18.311,18.311,18.311,18.311,0,0
1984-08-27,17.785,17.785,17.785,17.785,0,0
1984-09-01,17.778,17.778,17.778,17.778,0,0
1984-09-10,16.994,16.994,16.994,16.994,0,0
1984-09-17,17.205,17.205,17.205,17.205,0,0
1984-09-24,16.105,16.105,16.105,16.105,0,0
1984-10-01,15.848,15.848,15.848,15.848,0,0
1984-10-08,16.036,16.036,16.036,16.036,0,0
1984-10-15,15.143,15.143,15.143,15.143,0,0
1984-10-22,15.143,15.143,15.143,15.143,0,0
1984-10-29,15.575,15.575,15.575,15.575,0,0
1984-11-05,14.734,14.734,14.734,14.734,0,0
1984-11-12,15.225,15.225,15.225,15.225,0,0
1984-11-19,14.689,14.689,14.689,14.689,0,0
1984-11-26,14.598,14.598,14.598,14.598,0,0
1984-12-01,14.857,14.857,14.857,14.857,0,0
1984-12-10,14.767,14.767,14.767,14.767,0,0
1984-12-17,15.875,15.875,15.875,15.875,0,0
1984-12-24,15.875,15.875,15.875,15.875,0,0
1985-01-01,15.829,15.829,15.829,15.829,0,0
1985-01-07,18.105,18.105,18.105,18.105,0,0
1985-01-14,17.421,17.421,17.421,17.421,0,0
1985-01-21,16.294,16.294,16.294,16.294,0,0
1985-01-28,16.105,16.105,16.105,16.105,0,0
1985-02-04,16.199,16.199,16.199,16.199,0,0
1985-02-11,15.667,15.667,15.667,15.667,0,0
1985-02-18,15.58,15.58,15.58,15.58,0,0
1985-02-25,18.312,18.312,18.312,18.312,0,0
1985-03-04,17.756,17.756,17.756,17.756,0,0
1985-03-11,18.077,18.077,18.077,18.077,0,0
1985-03-18,17.532,17.532,17.532,17.532,0,0
1985-03-25,17.643,17.643,17.643,17.643,0,0
1985-03-29,17.205,17.205,17.205,17.205,0,0
1985-04-01,18.224,18.224,18.224,18.224,0,0
1985-04-09,17.372,17.372,17.372,17.372,0,0
1985-04-15,17.532,17.532,17.532,17.532,0,0
1985-04-22,18.188,18.188,18.188,18.188,0,0
1985-04-29,17.208,17.208,17.208,17.208,0,0
1985-05-06,17.947,17.947,17.947,17.947,0,0
1985-05-13,17.532,17.532,17.532,17.532,0,0
1985-05-20,18.562,18.562,18.562,18.562,0,0
1985-05-27,18.562,18.562,18.562,18.562,0,0
1985-06-01,18.538,18.538,18.538,18.538,0,0
1985-06-10,20.733,20.733,20.733,20.733,0,0
1985-06-17,20.321,20.321,20.321,20.321,0,0
1985-06-24,20.065,20.065,20.065,20.065,0,0
1985-07-01,21.597,21.597,21.597,21.597,0,0
1985-07-08,21.014,21.014,21.014,21.014,0,0
1985-07-15,21.014,21.014,21.014,21.014,0,0
1985-07-23,20.89,20.89,20.89,20.89,0,0
1985-07-29,20.067,20.067,20.067,20.067,0,0
1985-08-05,19.29,19.29,19.29,19.29,0,0
1985-08-12,19.045,19.045,19.045,19.045,0,0
1985-08-19,18.012,18.012,18.012,18.012,0,0
1985-08-26,18.688,18.688,18.688,18.688,0,0
1985-09-02,18.688,18.688,18.688,18.688,0,0
1985-09-09,19.6,19.6,19.6,19.6,0,0
1985-09-16,19.671,19.671,19.671,19.671,0,0
1985-09-23,18.375,18.375,18.375,18.375,0,0
1985-09-30,19.2,19.2,19.2,19.2,0,0
1985-10-07,18.431,18.431,18.431,18.431,0,0
1985-10-14,18.553,18.553,18.553,18.553,0,0
1985-10-21,17.871,17.871,17.871,17.871,0,0
1985-10-28,16.987,16.987,16.987,16.987,0,0
1985-11-04,17.32,17.32,17.32,17.32,0,0
1985-11-11,17.785,17.785,17.785,17.785,0,0
1985-11-18,17.55,17.55,17.55,17.55,0,0
1985-11-25,16.46,16.46,16.46,16.46,0,0
1985-12-02,16.994,16.994,16.994,16.994,0,0
1985-12-09,18.182,18.182,18.182,18.182,0,0
1985-12-16,18.31,18.31,18.31,18.31,0,0
1985-12-23,18.571,18.571,18.571,18.571,0,0
1986-01-01,18.571,18.571,18.571,18.571,0,0
1986-01-06,18.056,18.056,18.056,18.056,0,0
1986-01-13,17.333,17.333,17.333,17.333,0,0
1986-01-20,16.994,16.994,16.994,16.994,0,0
1986-01-27,16.667,16.667,16.667,16.667,0,0
1986-02-01,16.611,16.611,16.611,16.611,0,0
1986-02-10,17.588,17.588,17.588,17.588,0,0
1986-02-17,17.692,17.692,17.692,17.692,0,0
1986-02-24,16.075,16.075,16.075,16.075,0,0
1986-03-01,16.066,16.066,16.066,16.066,0,0
1986-03-03,16.517,16.517,16.517,16.517,0,0
1986-03-10,16.18,16.18,16.18,16.18,0,0
1986-03-17,15.556,15.556,15.556,15.556,0,0
1986-03-18,15.638,15.638,15.638,15.638,0,0
1986-03-24,15.807,15.807,15.807,15.807,0,0
1986-04-01,17.711,17.711,17.711,17.711,0,0
1986-04-07,16.333,16.333,16.333,16.333,0,0
1986-04-09,16.425,16.425,16.425,16.425,0,0
1986-04-14,16.893,16.893,16.893,16.893,0,0
1986-04-21,16.333,16.333,16.333,16.333,0,0
1986-04-28,16.089,16.089,16.089,16.089,0,0
1986-05-05,16.18,16.18,16.18,16.18,0,0
1986-05-12,16.333,16.333,16.333,16.333,0,0
1986-05-19,16.647,16.647,16.647,16.647,0,0
1986-05-26,16.897,16.897,16.897,16.897,0,0
1986-06-02,16.425,16.425,16.425,16.425,0,0
1986-06-09,15.638,15.638,15.638,15.638,0,0
1986-06-16,15.738,15.738,15.738,15.738,0,0
1986-06-23,15.912,15.912,15.912,15.912,0,0
1986-06-30,16.154,16.154,16.154,16.154,0,0
1986-07-07,16.243,16.243,16.243,16.243,0,0
1986-07-14,16.154,16.154,16.154,16.154,0,0
1986-07-21,15.892,15.892,15.892,15.892,0,0
1986-07-28,16.154,16.154,16.154,16.154,0,0
1986-08-04,15.978,15.978,15.978,15.978,0,0
1986-08-11,13.738,13.738,13.738,13.738,0,0
1986-08-18,13.981,13.981,13.981,13.981,0,0
1986-08-25,12.915,12.915,12.915,12.915,0,0
1986-09-01,13.033,13.033,13.033,13.033,0,0
1986-09-08,12.535,12.535,12.535,12.535,0,0
1986-09-15,12.939,12.939,12.939,12.939,0,0
1986-09-22,12.363,12.363,12.363,12.363,0,0
1986-09-29,13.47,13.47,13.47,13.47,0,0
1986-10-06,12.667,12.667,12.667,12.667,0,0
1986-10-13,12.826,12.826,12.826,12.826,0,0
1986-10-20,12.873,12.873,12.873,12.873,0,0
1986-10-27,13.828,13.828,13.828,13.828,0,0
1986-11-01,13.938,13.938,13.938,13.938,0,0
1986-11-10,13.992,13.992,13.992,13.992,0,0
1986-11-17,15.56,15.56,15.56,15.56,0,0
1986-11-24,15.56,15.56,15.56,15.56,0,0
1986-12-01,15.128,15.128,15.128,15.128,0,0
1986-12-08,15.459,15.459,15.459,15.459,0,0
1986-12-15,15.193,15.193,15.193,15.193,0,0
1986-12-22,15.427,15.427,15.427,15.427,0,0
1986-12-31,15.128,15.128,15.128,15.128,0,0
1987-01-12,14.332,14.332,14.332,14.332,0,0
1987-01-19,14.032,14.032,14.032,14.032,0,0
1987-01-26,14.684,14.684,14.684,14.684,0,0
1987-02-01,14.558,14.558,14.558,14.558,0,0
1987-02-09,14.411,14.411,14.411,14.411,0,0
1987-02-16,14.362,14.362,14.362,14.362,0,0
1987-02-23,15.124,15.124,15.124,15.124,0,0
1987-03-02,15.371,15.371,15.371,15.371,0,0
