Date,Open,High,Low,Close,Volume,OpenInt
1991-01-02,12.135,12.135,12.135,12.135,0,0
1991-01-03,12.151,12.151,12.151,12.151,0,0
1991-01-04,12.247,12.247,12.247,12.247,0,0
1991-01-07,12.35,12.35,12.35,12.35,0,0
1991-01-08,12.014,12.014,12.014,12.014,0,0
1991-01-09,11.885,11.885,11.885,11.885,0,0
1991-01-10,12.012,12.012,12.012,12.012,0,0
1991-01-11,12.03,12.03,12.03,12.03,0,0
1991-01-14,12.018,12.018,12.018,12.018,0,0
1991-01-15,11.944,11.944,11.944,11.944,0,0
1991-01-16,11.974,11.974,11.974,11.974,0,0
1991-01-17,11.822,11.822,11.822,11.822,0,0
1991-01-18,11.968,11.968,11.968,11.968,0,0
1991-01-21,11.964,11.964,11.964,11.964,0,0
1991-01-22,12.082,12.082,12.082,12.082,0,0
1991-01-23,12.177,12.177,12.177,12.177,0,0
1991-01-24,12.088,12.088,12.088,12.088,0,0
1991-01-25,12.204,12.204,12.204,12.204,0,0
1991-01-28,12.186,12.186,12.186,12.186,0,0
1991-01-29,12.148,12.148,12.148,12.148,0,0
1991-01-30,12.211,12.211,12.211,12.211,0,0
1991-01-31,12.097,12.097,12.097,12.097,0,0
1991-02-01,12.085,12.085,12.085,12.085,0,0
1991-02-04,12.15,12.15,12.15,12.15,0,0
1991-02-05,12.237,12.237,12.237,12.237,0,0
1991-02-06,12.193,12.193,12.193,12.193,0,0
1991-02-07,12.241,12.241,12.241,12.241,0,0
1991-02-08,12.275,12.275,12.275,12.275,0,0
1991-02-11,12.2,12.2,12.2,12.2,0,0
1991-02-12,12.268,12.268,12.268,12.268,0,0
1991-02-13,12.308,12.308,12.308,12.308,0,0
1991-02-14,12.322,12.322,12.322,12.322,0,0
1991-02-15,12.318,12.318,12.318,12.318,0,0
1991-02-18,12.261,12.261,12.261,12.261,0,0
1991-02-19,12.246,12.246,12.246,12.246,0,0
1991-02-20,12.183,12.183,12.183,12.183,0,0
1991-02-21,12.157,12.157,12.157,12.157,0,0
1991-02-22,12.233,12.233,12.233,12.233,0,0
1991-02-25,12.308,12.308,12.308,12.308,0,0
1991-02-26,12.094,12.094,12.094,12.094,0,0
1991-02-27,12.035,12.035,12.035,12.035,0,0
1991-02-28,12.054,12.054,12.054,12.054,0,0
1991-03-01,12.139,12.139,12.139,12.139,0,0
1991-03-04,12.025,12.025,12.025,12.025,0,0
1991-03-05,11.999,11.999,11.999,11.999,0,0
1991-03-06,12.123,12.123,12.123,12.123,0,0
1991-03-07,12.003,12.003,12.003,12.003,0,0
1991-03-08,12.082,12.082,12.082,12.082,0,0
1991-03-11,12.049,12.049,12.049,12.049,0,0
1991-03-12,11.89,11.89,11.89,11.89,0,0
1991-03-13,11.933,11.933,11.933,11.933,0,0
1991-03-14,11.884,11.884,11.884,11.884,0,0
1991-03-15,11.953,11.953,11.953,11.953,0,0
1991-03-18,12.002,12.002,12.002,12.002,0,0
1991-03-19,11.853,11.853,11.853,11.853,0,0
1991-03-20,11.82,11.82,11.82,11.82,0,0
1991-03-21,11.479,11.479,11.479,11.479,0,0
1991-03-22,11.653,11.653,11.653,11.653,0,0
1991-03-25,11.684,11.684,11.684,11.684,0,0
1991-03-26,11.554,11.554,11.554,11.554,0,0
1991-03-27,11.465,11.465,11.465,11.465,0,0
1991-03-28,11.503,11.503,11.503,11.503,0,0
1991-03-29,11.293,11.293,11.293,11.293,0,0
1991-04-02,11.21,11.21,11.21,11.21,0,0
1991-04-03,11.294,11.294,11.294,11.294,0,0
1991-04-04,11.422,11.422,11.422,11.422,0,0
1991-04-05,11.424,11.424,11.424,11.424,0,0
1991-04-08,11.529,11.529,11.529,11.529,0,0
1991-04-09,11.284,11.284,11.284,11.284,0,0
1991-04-10,11.419,11.419,11.419,11.419,0,0
1991-04-11,11.448,11.448,11.448,11.448,0,0
1991-04-12,11.413,11.413,11.413,11.413,0,0
1991-04-15,11.431,11.431,11.431,11.431,0,0
1991-04-16,11.381,11.381,11.381,11.381,0,0
1991-04-17,11.52,11.52,11.52,11.52,0,0
1991-04-18,11.528,11.528,11.528,11.528,0,0
1991-04-19,11.601,11.601,11.601,11.601,0,0
1991-04-22,11.465,11.465,11.465,11.465,0,0
1991-04-23,11.197,11.197,11.197,11.197,0,0
1991-04-24,11.184,11.184,11.184,11.184,0,0
1991-04-25,11.296,11.296,11.296,11.296,0,0
1991-04-26,11.2,11.2,11.2,11.2,0,0
1991-04-29,11.244,11.244,11.244,11.244,0,0
1991-04-30,10.964,10.964,10.964,10.964,0,0
1991-05-01,11.21,11.21,11.21,11.21,0,0
1991-05-06,11.362,11.362,11.362,11.362,0,0
1991-05-07,11.239,11.239,11.239,11.239,0,0
1991-05-08,11.318,11.318,11.318,11.318,0,0
1991-05-09,11.328,11.328,11.328,11.328,0,0
1991-05-10,11.229,11.229,11.229,11.229,0,0
1991-05-13,11.239,11.239,11.239,11.239,0,0
1991-05-14,11.253,11.253,11.253,11.253,0,0
1991-05-15,11.267,11.267,11.267,11.267,0,0
1991-05-16,11.414,11.414,11.414,11.414,0,0
1991-05-17,11.52,11.52,11.52,11.52,0,0
1991-05-20,11.462,11.462,11.462,11.462,0,0
1991-05-21,11.153,11.153,11.153,11.153,0,0
1991-05-22,11.372,11.372,11.372,11.372,0,0
1991-05-23,11.335,11.335,11.335,11.335,0,0
1991-05-24,11.256,11.256,11.256,11.256,0,0
1991-05-27,11.329,11.329,11.329,11.329,0,0
1991-05-28,11.364,11.364,11.364,11.364,0,0
1991-05-29,11.344,11.344,11.344,11.344,0,0
1991-05-31,11.514,11.514,11.514,11.514,0,0
1991-06-03,11.326,11.326,11.326,11.326,0,0
1991-06-04,11.128,11.128,11.128,11.128,0,0
1991-06-05,11.136,11.136,11.136,11.136,0,0
1991-06-06,11.171,11.171,11.171,11.171,0,0
1991-06-07,11.24,11.24,11.24,11.24,0,0
1991-06-10,11.225,11.225,11.225,11.225,0,0
1991-06-11,11.129,11.129,11.129,11.129,0,0
1991-06-12,11.172,11.172,11.172,11.172,0,0
1991-06-13,11.116,11.116,11.116,11.116,0,0
1991-06-14,10.935,10.935,10.935,10.935,0,0
1991-06-17,10.972,10.972,10.972,10.972,0,0
1991-06-18,11.01,11.01,11.01,11.01,0,0
1991-06-19,10.848,10.848,10.848,10.848,0,0
1991-06-20,10.867,10.867,10.867,10.867,0,0
1991-06-21,11.057,11.057,11.057,11.057,0,0
1991-06-24,10.92,10.92,10.92,10.92,0,0
1991-06-25,10.928,10.928,10.928,10.928,0,0
1991-06-26,10.926,10.926,10.926,10.926,0,0
1991-06-27,10.927,10.927,10.927,10.927,0,0
1991-06-28,10.987,10.987,10.987,10.987,0,0
1991-07-01,10.908,10.908,10.908,10.908,0,0
1991-07-02,10.96,10.96,10.96,10.96,0,0
1991-07-03,10.842,10.842,10.842,10.842,0,0
1991-07-04,10.817,10.817,10.817,10.817,0,0
1991-07-05,10.786,10.786,10.786,10.786,0,0
1991-07-08,10.717,10.717,10.717,10.717,0,0
1991-07-09,10.884,10.884,10.884,10.884,0,0
1991-07-10,10.848,10.848,10.848,10.848,0,0
1991-07-11,10.845,10.845,10.845,10.845,0,0
1991-07-12,10.764,10.764,10.764,10.764,0,0
1991-07-15,10.736,10.736,10.736,10.736,0,0
1991-07-16,10.908,10.908,10.908,10.908,0,0
1991-07-17,10.903,10.903,10.903,10.903,0,0
1991-07-18,10.834,10.834,10.834,10.834,0,0
1991-07-19,10.932,10.932,10.932,10.932,0,0
1991-07-22,11.026,11.026,11.026,11.026,0,0
1991-07-23,11.028,11.028,11.028,11.028,0,0
1991-07-24,10.952,10.952,10.952,10.952,0,0
1991-07-25,11.122,11.122,11.122,11.122,0,0
1991-07-26,11.074,11.074,11.074,11.074,0,0
1991-07-29,11.13,11.13,11.13,11.13,0,0
1991-07-30,11.115,11.115,11.115,11.115,0,0
1991-07-31,11.093,11.093,11.093,11.093,0,0
1991-08-01,11.126,11.126,11.126,11.126,0,0
1991-08-02,11.04,11.04,11.04,11.04,0,0
1991-08-05,10.886,10.886,10.886,10.886,0,0
1991-08-06,11.034,11.034,11.034,11.034,0,0
1991-08-07,11.205,11.205,11.205,11.205,0,0
1991-08-08,11.224,11.224,11.224,11.224,0,0
1991-08-09,11.295,11.295,11.295,11.295,0,0
1991-08-12,11.197,11.197,11.197,11.197,0,0
1991-08-13,11.167,11.167,11.167,11.167,0,0
1991-08-14,11.173,11.173,11.173,11.173,0,0
1991-08-16,11.172,11.172,11.172,11.172,0,0
1991-08-19,11.258,11.258,11.258,11.258,0,0
1991-08-20,10.798,10.798,10.798,10.798,0,0
1991-08-21,10.79,10.79,10.79,10.79,0,0
1991-08-22,10.842,10.842,10.842,10.842,0,0
1991-08-23,11.153,11.153,11.153,11.153,0,0
1991-08-26,11.219,11.219,11.219,11.219,0,0
1991-08-27,11.084,11.084,11.084,11.084,0,0
1991-08-28,11.059,11.059,11.059,11.059,0,0
1991-08-29,11.052,11.052,11.052,11.052,0,0
1991-08-30,11.182,11.182,11.182,11.182,0,0
1991-09-02,11.152,11.152,11.152,11.152,0,0
1991-09-03,11.094,11.094,11.094,11.094,0,0
1991-09-04,11.11,11.11,11.11,11.11,0,0
1991-09-05,11.14,11.14,11.14,11.14,0,0
1991-09-06,11.117,11.117,11.117,11.117,0,0
1991-09-09,11.016,11.016,11.016,11.016,0,0
1991-09-10,11.194,11.194,11.194,11.194,0,0
1991-09-11,11.302,11.302,11.302,11.302,0,0
1991-09-12,11.236,11.236,11.236,11.236,0,0
1991-09-13,11.279,11.279,11.279,11.279,0,0
1991-09-16,11.246,11.246,11.246,11.246,0,0
1991-09-17,11.259,11.259,11.259,11.259,0,0
1991-09-18,11.419,11.419,11.419,11.419,0,0
1991-09-19,11.349,11.349,11.349,11.349,0,0
