Date,Open,High,Low,Close,Volume,OpenInt
1984-09-24,8.1724,8.1724,8.1724,8.1724,0,0
1984-10-01,8.2674,8.2674,8.2674,8.2674,0,0
1984-10-08,8.0843,8.0843,8.0843,8.0843,0,0
1984-10-15,8.1534,8.1534,8.1534,8.1534,0,0
1984-10-22,8.084,8.084,8.084,8.084,0,0
1984-10-29,7.9903,7.9903,7.9903,7.9903,0,0
1984-11-05,8.0342,8.0342,8.0342,8.0342,0,0
1984-11-12,8.0574,8.0574,8.0574,8.0574,0,0
1984-11-19,7.9983,7.9983,7.9983,7.9983,0,0
1984-11-26,8.0685,8.0685,8.0685,8.0685,0,0
1984-12-01,8.0411,8.0411,8.0411,8.0411,0,0
1984-12-10,8.0362,8.0362,8.0362,8.0362,0,0
1984-12-17,7.9886,7.9886,7.9886,7.9886,0,0
1984-12-24,7.9807,7.9807,7.9807,7.9807,0,0
1985-01-01,7.9701,7.9701,7.9701,7.9701,0,0
1985-01-07,7.9731,7.9731,7.9731,7.9731,0,0
1985-01-14,7.949,7.949,7.949,7.949,0,0
1985-01-21,7.9583,7.9583,7.9583,7.9583,0,0
1985-01-28,7.9356,7.9356,7.9356,7.9356,0,0
1985-02-04,7.9205,7.9205,7.9205,7.9205,0,0
1985-02-11,7.9523,7.9523,7.9523,7.9523,0,0
1985-02-18,7.9518,7.9518,7.9518,7.9518,0,0
1985-02-25,7.964,7.964,7.964,7.964,0,0
1985-03-04,7.9359,7.9359,7.9359,7.9359,0,0
1985-03-11,7.9473,7.9473,7.9473,7.9473,0,0
1985-03-18,7.9158,7.9158,7.9158,7.9158,0,0
1985-03-25,7.9369,7.9369,7.9369,7.9369,0,0
1985-03-29,7.5933,7.5933,7.5933,7.5933,0,0
1985-04-01,7.9951,7.9951,7.9951,7.9951,0,0
1985-04-09,8.0089,8.0089,8.0089,8.0089,0,0
1985-04-15,7.9992,7.9992,7.9992,7.9992,0,0
1985-04-22,8.0287,8.0287,8.0287,8.0287,0,0
1985-04-29,8.0376,8.0376,8.0376,8.0376,0,0
1985-05-06,8.0749,8.0749,8.0749,8.0749,0,0
1985-05-13,8.02,8.02,8.02,8.02,0,0
1985-05-20,8.0688,8.0688,8.0688,8.0688,0,0
1985-05-27,8.0555,8.0555,8.0555,8.0555,0,0
1985-06-01,8.0356,8.0356,8.0356,8.0356,0,0
1985-06-10,8.0643,8.0643,8.0643,8.0643,0,0
1985-06-17,8.0475,8.0475,8.0475,8.0475,0,0
1985-06-24,8.0422,8.0422,8.0422,8.0422,0,0
1985-07-01,8.0569,8.0569,8.0569,8.0569,0,0
1985-07-08,8.0679,8.0679,8.0679,8.0679,0,0
1985-07-15,8.0868,8.0868,8.0868,8.0868,0,0
1985-07-23,8.093,8.093,8.093,8.093,0,0
1985-07-29,8.055,8.055,8.055,8.055,0,0
1985-08-05,8.0682,8.0682,8.0682,8.0682,0,0
1985-08-12,8.0126,8.0126,8.0126,8.0126,0,0
1985-08-19,8.0512,8.0512,8.0512,8.0512,0,0
1985-08-26,8.0722,8.0722,8.0722,8.0722,0,0
1985-09-02,8.0933,8.0933,8.0933,8.0933,0,0
1985-09-09,8.0822,8.0822,8.0822,8.0822,0,0
1985-09-16,8.0402,8.0402,8.0402,8.0402,0,0
1985-09-23,8.047,8.047,8.047,8.047,0,0
1985-09-30,8.093,8.093,8.093,8.093,0,0
1985-10-07,8.0561,8.0561,8.0561,8.0561,0,0
1985-10-14,8.0051,8.0051,8.0051,8.0051,0,0
1985-10-21,8.0122,8.0122,8.0122,8.0122,0,0
1985-10-28,8.0096,8.0096,8.0096,8.0096,0,0
1985-11-04,8.3003,8.3003,8.3003,8.3003,0,0
1985-11-11,8.0082,8.0082,8.0082,8.0082,0,0
1985-11-18,7.9867,7.9867,7.9867,7.9867,0,0
1985-11-25,7.9824,7.9824,7.9824,7.9824,0,0
1985-12-02,7.9906,7.9906,7.9906,7.9906,0,0
1985-12-09,7.9796,7.9796,7.9796,7.9796,0,0
1985-12-16,7.9572,7.9572,7.9572,7.9572,0,0
1985-12-23,7.9538,7.9538,7.9538,7.9538,0,0
1986-01-01,7.9389,7.9389,7.9389,7.9389,0,0
1986-01-06,7.9518,7.9518,7.9518,7.9518,0,0
1986-01-13,8.0109,8.0109,8.0109,8.0109,0,0
1986-01-20,8.0334,8.0334,8.0334,8.0334,0,0
1986-01-27,7.97,7.97,7.97,7.97,0,0
1986-02-01,7.961,7.961,7.961,7.961,0,0
1986-02-10,7.9531,7.9531,7.9531,7.9531,0,0
1986-02-17,7.9664,7.9664,7.9664,7.9664,0,0
1986-02-24,7.9651,7.9651,7.9651,7.9651,0,0
1986-03-01,7.911,7.911,7.911,7.911,0,0
1986-03-03,7.911,7.911,7.911,7.911,0,0
1986-03-10,7.9442,7.9442,7.9442,7.9442,0,0
1986-03-17,7.9894,7.9894,7.9894,7.9894,0,0
1986-03-18,7.9894,7.9894,7.9894,7.9894,0,0
1986-03-24,7.977,7.977,7.977,7.977,0,0
1986-04-01,7.9873,7.9873,7.9873,7.9873,0,0
1986-04-07,7.9928,7.9928,7.9928,7.9928,0,0
1986-04-09,7.9928,7.9928,7.9928,7.9928,0,0
1986-04-14,7.9391,7.9391,7.9391,7.9391,0,0
1986-04-21,7.9422,7.9422,7.9422,7.9422,0,0
1986-04-28,7.9074,7.9074,7.9074,7.9074,0,0
1986-05-05,7.9523,7.9523,7.9523,7.9523,0,0
1986-05-12,7.9239,7.9239,7.9239,7.9239,0,0
1986-05-19,7.9484,7.9484,7.9484,7.9484,0,0
1986-05-26,7.9686,7.9686,7.9686,7.9686,0,0
1986-06-02,7.9685,7.9685,7.9685,7.9685,0,0
1986-06-09,7.96,7.96,7.96,7.96,0,0
1986-06-16,7.9504,7.9504,7.9504,7.9504,0,0
1986-06-23,7.958,7.958,7.958,7.958,0,0
