Date,Open,High,Low,Close,Volume,OpenInt
1984-01-02,3.831,3.831,3.831,3.831,0,0
1984-01-09,3.7678,3.7678,3.7678,3.7678,0,0
1984-01-16,3.7637,3.7637,3.7637,3.7637,0,0
1984-01-23,3.7515,3.7515,3.7515,3.7515,0,0
1984-01-30,3.7546,3.7546,3.7546,3.7546,0,0
1984-02-06,3.7424,3.7424,3.7424,3.7424,0,0
1984-02-13,3.7221,3.7221,3.7221,3.7221,0,0
1984-02-20,3.7562,3.7562,3.7562,3.7562,0,0
1984-03-01,3.75,3.75,3.75,3.75,0,0
1984-03-05,3.7597,3.7597,3.7597,3.7597,0,0
1984-03-12,3.7765,3.7765,3.7765,3.7765,0,0
1984-03-19,3.7597,3.7597,3.7597,3.7597,0,0
1984-03-26,3.7317,3.7317,3.7317,3.7317,0,0
1984-04-02,3.7243,3.7243,3.7243,3.7243,0,0
1984-04-09,3.7207,3.7207,3.7207,3.7207,0,0
1984-04-16,3.7044,3.7044,3.7044,3.7044,0,0
1984-04-24,3.6593,3.6593,3.6593,3.6593,0,0
1984-05-02,3.6567,3.6567,3.6567,3.6567,0,0
1984-05-07,3.6214,3.6214,3.6214,3.6214,0,0
1984-05-14,3.625,3.625,3.625,3.625,0,0
1984-05-21,3.6103,3.6103,3.6103,3.6103,0,0
1984-05-28,3.6067,3.6067,3.6067,3.6067,0,0
1984-06-04,3.6144,3.6144,3.6144,3.6144,0,0
1984-06-11,3.6341,3.6341,3.6341,3.6341,0,0
1984-06-18,3.6083,3.6083,3.6083,3.6083,0,0
1984-06-25,3.607,3.607,3.607,3.607,0,0
1984-07-02,3.5459,3.5459,3.5459,3.5459,0,0
1984-07-09,3.5253,3.5253,3.5253,3.5253,0,0
1984-07-16,3.5168,3.5168,3.5168,3.5168,0,0
1984-07-23,3.4685,3.4685,3.4685,3.4685,0,0
1984-07-30,3.4295,3.4295,3.4295,3.4295,0,0
1984-08-06,3.3991,3.3991,3.3991,3.3991,0,0
1984-08-13,3.3991,3.3991,3.3991,3.3991,0,0
1984-08-20,3.3887,3.3887,3.3887,3.3887,0,0
1984-08-27,3.3829,3.3829,3.3829,3.3829,0,0
1984-09-01,3.3874,3.3874,3.3874,3.3874,0,0
1984-09-10,3.3281,3.3281,3.3281,3.3281,0,0
1984-09-17,3.3156,3.3156,3.3156,3.3156,0,0
1984-09-24,3.3115,3.3115,3.3115,3.3115,0,0
1984-10-01,3.2898,3.2898,3.2898,3.2898,0,0
1984-10-08,3.303,3.303,3.303,3.303,0,0
1984-10-15,3.268,3.268,3.268,3.268,0,0
1984-10-22,3.2457,3.2457,3.2457,3.2457,0,0
1984-10-29,3.2605,3.2605,3.2605,3.2605,0,0
1984-11-05,3.242,3.242,3.242,3.242,0,0
1984-11-12,3.2753,3.2753,3.2753,3.2753,0,0
1984-11-19,3.3089,3.3089,3.3089,3.3089,0,0
1984-11-26,3.2712,3.2712,3.2712,3.2712,0,0
