Date,Open,High,Low,Close,Volume,OpenInt
1995-10-23,5.6796,5.6796,5.6796,5.6796,0,0
1995-10-24,5.6824,5.6824,5.6824,5.6824,0,0
1995-10-25,5.6742,5.6742,5.6742,5.6742,0,0
1995-10-26,5.6715,5.6715,5.6715,5.6715,0,0
1995-10-27,5.6759,5.6759,5.6759,5.6759,0,0
1995-10-30,5.6533,5.6533,5.6533,5.6533,0,0
1995-10-31,5.6602,5.6602,5.6602,5.6602,0,0
1995-11-02,5.636,5.636,5.636,5.636,0,0
1995-11-03,5.6273,5.6273,5.6273,5.6273,0,0
1995-11-06,5.6484,5.6484,5.6484,5.6484,0,0
1995-11-07,5.6423,5.6423,5.6423,5.6423,0,0
1995-11-08,5.6398,5.6398,5.6398,5.6398,0,0
1995-11-09,5.623,5.623,5.623,5.623,0,0
1995-11-10,5.6504,5.6504,5.6504,5.6504,0,0
1995-11-13,5.6506,5.6506,5.6506,5.6506,0,0
1995-11-14,5.6292,5.6292,5.6292,5.6292,0,0
1995-11-15,5.6618,5.6618,5.6618,5.6618,0,0
1995-11-16,5.653,5.653,5.653,5.653,0,0
1995-11-17,5.663,5.663,5.663,5.663,0,0
1995-11-20,5.6443,5.6443,5.6443,5.6443,0,0
1995-11-21,5.6532,5.6532,5.6532,5.6532,0,0
1995-11-22,5.6591,5.6591,5.6591,5.6591,0,0
1995-11-23,5.666,5.666,5.666,5.666,0,0
1995-11-24,5.6634,5.6634,5.6634,5.6634,0,0
1995-11-27,5.6528,5.6528,5.6528,5.6528,0,0
1995-11-28,5.6215,5.6215,5.6215,5.6215,0,0
1995-11-29,5.6169,5.6169,5.6169,5.6169,0,0
1995-11-30,5.6189,5.6189,5.6189,5.6189,0,0
1995-12-01,5.5968,5.5968,5.5968,5.5968,0,0
1995-12-04,5.6135,5.6135,5.6135,5.6135,0,0
1995-12-05,5.617,5.617,5.617,5.617,0,0
1995-12-06,5.6237,5.6237,5.6237,5.6237,0,0
1995-12-07,5.6109,5.6109,5.6109,5.6109,0,0
1995-12-08,5.6006,5.6006,5.6006,5.6006,0,0
1995-12-11,5.6003,5.6003,5.6003,5.6003,0,0
1995-12-12,5.5944,5.5944,5.5944,5.5944,0,0
1995-12-13,5.582,5.582,5.582,5.582,0,0
1995-12-14,5.5858,5.5858,5.5858,5.5858,0,0
1995-12-15,5.6024,5.6024,5.6024,5.6024,0,0
1995-12-18,5.607,5.607,5.607,5.607,0,0
1995-12-19,5.6152,5.6152,5.6152,5.6152,0,0
1995-12-20,5.632,5.632,5.632,5.632,0,0
1995-12-21,5.6488,5.6488,5.6488,5.6488,0,0
1995-12-22,5.6658,5.6658,5.6658,5.6658,0,0
1995-12-27,5.6026,5.6026,5.6026,5.6026,0,0
1995-12-28,5.6024,5.6024,5.6024,5.6024,0,0
1995-12-29,5.5881,5.5881,5.5881,5.5881,0,0
1996-01-02,5.5843,5.5843,5.5843,5.5843,0,0
1996-01-03,5.6011,5.6011,5.6011,5.6011,0,0
1996-01-04,5.6179,5.6179,5.6179,5.6179,0,0
1996-01-05,5.5349,5.5349,5.5349,5.5349,0,0
1996-01-08,5.5489,5.5489,5.5489,5.5489,0,0
1996-01-09,5.5389,5.5389,5.5389,5.5389,0,0
1996-01-10,5.538,5.538,5.538,5.538,0,0
