Date,Open,High,Low,Close,Volume,OpenInt
1993-10-25,132.66,132.66,132.66,132.66,0,0
1993-10-26,132.42,132.42,132.42,132.42,0,0
1993-10-27,132.33,132.33,132.33,132.33,0,0
1993-10-28,132.17,132.17,132.17,132.17,0,0
1993-10-29,132.21,132.21,132.21,132.21,0,0
1993-11-02,132.07,132.07,132.07,132.07,0,0
1993-11-03,131.99,131.99,131.99,131.99,0,0
1993-11-04,131.47,131.47,131.47,131.47,0,0
1993-11-05,130.78,130.78,130.78,130.78,0,0
1993-11-08,130.72,130.72,130.72,130.72,0,0
1993-11-09,130.36,130.36,130.36,130.36,0,0
1993-11-10,128.27,128.27,128.27,128.27,0,0
1993-11-12,128.6,128.6,128.6,128.6,0,0
1993-11-15,128.58,128.58,128.58,128.58,0,0
1993-11-16,128.19,128.19,128.19,128.19,0,0
1993-11-17,128.45,128.45,128.45,128.45,0,0
1993-11-18,130.55,130.55,130.55,130.55,0,0
1993-11-19,133.03,133.03,133.03,133.03,0,0
1993-11-22,132.88,132.88,132.88,132.88,0,0
1993-11-23,133.13,133.13,133.13,133.13,0,0
1993-11-24,133.69,133.69,133.69,133.69,0,0
1993-11-25,133.96,133.96,133.96,133.96,0,0
1993-11-26,134.73,134.73,134.73,134.73,0,0
1993-11-29,136.06,136.06,136.06,136.06,0,0
1993-11-30,134.89,134.89,134.89,134.89,0,0
1993-12-01,135.28,135.28,135.28,135.28,0,0
1993-12-02,135.86,135.86,135.86,135.86,0,0
1993-12-03,136.86,136.86,136.86,136.86,0,0
1993-12-06,137.65,137.65,137.65,137.65,0,0
1993-12-07,138.27,138.27,138.27,138.27,0,0
1993-12-08,137.97,137.97,137.97,137.97,0,0
1993-12-09,137.13,137.13,137.13,137.13,0,0
1993-12-10,136.19,136.19,136.19,136.19,0,0
1993-12-13,135.91,135.91,135.91,135.91,0,0
1993-12-14,136.94,136.94,136.94,136.94,0,0
1993-12-15,136.95,136.95,136.95,136.95,0,0
1993-12-16,136.9,136.9,136.9,136.9,0,0
1993-12-17,137.24,137.24,137.24,137.24,0,0
1993-12-20,137.13,137.13,137.13,137.13,0,0
1993-12-21,136.85,136.85,136.85,136.85,0,0
1993-12-22,137.27,137.27,137.27,137.27,0,0
1993-12-23,137.44,137.44,137.44,137.44,0,0
1993-12-24,137.95,137.95,137.95,137.95,0,0
1993-12-27,137.98,137.98,137.98,137.98,0,0
1993-12-28,138.4,138.4,138.4,138.4,0,0
1993-12-29,138.31,138.31,138.31,138.31,0,0
1993-12-30,137.71,137.71,137.71,137.71,0,0
1993-12-31,137.75,137.75,137.75,137.75,0,0
1994-01-03,138.08,138.08,138.08,138.08,0,0
1994-01-04,138.76,138.76,138.76,138.76,0,0
1994-01-05,138.6,138.6,138.6,138.6,0,0
1994-01-06,138.67,138.67,138.67,138.67,0,0
1994-01-07,138.41,138.41,138.41,138.41,0,0
1994-01-10,137.99,137.99,137.99,137.99,0,0
1994-01-11,137.69,137.69,137.69,137.69,0,0
1994-01-12,138.12,138.12,138.12,138.12,0,0
1994-01-13,138.37,138.37,138.37,138.37,0,0
1994-01-14,138.41,138.41,138.41,138.41,0,0
1994-01-17,138.43,138.43,138.43,138.43,0,0
1994-01-18,138.57,138.57,138.57,138.57,0,0
1994-01-19,138.66,138.66,138.66,138.66,0,0
1994-01-20,138.87,138.87,138.87,138.87,0,0
1994-01-21,139.35,139.35,139.35,139.35,0,0
1994-01-24,139.58,139.58,139.58,139.58,0,0
1994-01-25,138.76,138.76,138.76,138.76,0,0
1994-01-26,138.48,138.48,138.48,138.48,0,0
1994-01-27,138.44,138.44,138.44,138.44,0,0
1994-01-28,138.63,138.63,138.63,138.63,0,0
1994-01-31,138.87,138.87,138.87,138.87,0,0
1994-02-01,138.85,138.85,138.85,138.85,0,0
1994-02-02,138.49,138.49,138.49,138.49,0,0
1994-02-03,138.16,138.16,138.16,138.16,0,0
1994-02-04,138.25,138.25,138.25,138.25,0,0
1994-02-07,138.18,138.18,138.18,138.18,0,0
1994-02-08,138.05,138.05,138.05,138.05,0,0
1994-02-09,137.74,137.74,137.74,137.74,0,0
1994-02-10,137.54,137.54,137.54,137.54,0,0
1994-02-11,138.04,138.04,138.04,138.04,0,0
1994-02-14,138.17,138.17,138.17,138.17,0,0
1994-02-15,137.98,137.98,137.98,137.98,0,0
1994-02-16,137.61,137.61,137.61,137.61,0,0
1994-02-17,137.57,137.57,137.57,137.57,0,0
1994-02-18,137.81,137.81,137.81,137.81,0,0
1994-02-21,137.51,137.51,137.51,137.51,0,0
1994-02-22,137.74,137.74,137.74,137.74,0,0
1994-02-23,137.84,137.84,137.84,137.84,0,0
1994-02-24,136,136,136,136,0,0
1994-02-25,136.32,136.32,136.32,136.32,0,0
1994-02-28,136.28,136.28,136.28,136.28,0,0
1994-03-01,134.02,134.02,134.02,134.02,0,0
1994-03-02,135.59,135.59,135.59,135.59,0,0
1994-03-03,134.76,134.76,134.76,134.76,0,0
1994-03-04,133.68,133.68,133.68,133.68,0,0
1994-03-07,133.45,133.45,133.45,133.45,0,0
1994-03-08,133.07,133.07,133.07,133.07,0,0
1994-03-09,132.77,132.77,132.77,132.77,0,0
1994-03-10,130.7,130.7,130.7,130.7,0,0
1994-03-11,131.87,131.87,131.87,131.87,0,0
1994-03-14,131.16,131.16,131.16,131.16,0,0
1994-03-15,132.06,132.06,132.06,132.06,0,0
1994-03-16,129.58,129.58,129.58,129.58,0,0
1994-03-17,130.47,130.47,130.47,130.47,0,0
1994-03-18,130.25,130.25,130.25,130.25,0,0
1994-03-21,129.45,129.45,129.45,129.45,0,0
1994-03-22,129.46,129.46,129.46,129.46,0,0
1994-03-23,129.32,129.32,129.32,129.32,0,0
1994-03-24,128.57,128.57,128.57,128.57,0,0
1994-03-25,128.49,128.49,128.49,128.49,0,0
1994-03-28,127.77,127.77,127.77,127.77,0,0
1994-03-29,127.37,127.37,127.37,127.37,0,0
1994-03-30,127.04,127.04,127.04,127.04,0,0
1994-03-31,126.98,126.98,126.98,126.98,0,0
1994-04-01,126.98,126.98,126.98,126.98,0,0
1994-04-05,126.56,126.56,126.56,126.56,0,0
1994-04-06,126.48,126.48,126.48,126.48,0,0
1994-04-07,126.26,126.26,126.26,126.26,0,0
1994-04-08,125.57,125.57,125.57,125.57,0,0
1994-04-11,125.31,125.31,125.31,125.31,0,0
1994-04-12,125.4,125.4,125.4,125.4,0,0
1994-04-13,125.48,125.48,125.48,125.48,0,0
1994-04-14,125.42,125.42,125.42,125.42,0,0
1994-04-15,126.12,126.12,126.12,126.12,0,0
1994-04-18,126.23,126.23,126.23,126.23,0,0
1994-04-19,125.41,125.41,125.41,125.41,0,0
1994-04-20,125.77,125.77,125.77,125.77,0,0
1994-04-21,126.08,126.08,126.08,126.08,0,0
1994-04-22,126.11,126.11,126.11,126.11,0,0
1994-04-25,126.66,126.66,126.66,126.66,0,0
1994-04-26,128.03,128.03,128.03,128.03,0,0
1994-04-27,129.5,129.5,129.5,129.5,0,0
1994-04-28,130.51,130.51,130.51,130.51,0,0
1994-04-29,130.03,130.03,130.03,130.03,0,0
1994-05-04,128.86,128.86,128.86,128.86,0,0
1994-05-05,129.18,129.18,129.18,129.18,0,0
1994-05-06,129.5,129.5,129.5,129.5,0,0
1994-05-09,127.82,127.82,127.82,127.82,0,0
1994-05-10,127.27,127.27,127.27,127.27,0,0
1994-05-11,127.75,127.75,127.75,127.75,0,0
1994-05-12,127.98,127.98,127.98,127.98,0,0
1994-05-13,127.51,127.51,127.51,127.51,0,0
1994-05-16,127.65,127.65,127.65,127.65,0,0
1994-05-17,127.48,127.48,127.48,127.48,0,0
1994-05-18,127.22,127.22,127.22,127.22,0,0
1994-05-19,127.29,127.29,127.29,127.29,0,0
1994-05-20,128.06,128.06,128.06,128.06,0,0
1994-05-23,128,128,128,128,0,0
1994-05-24,128.75,128.75,128.75,128.75,0,0
1994-05-25,129.03,129.03,129.03,129.03,0,0
1994-05-26,128.33,128.33,128.33,128.33,0,0
1994-05-27,128.04,128.04,128.04,128.04,0,0
1994-05-30,127.6,127.6,127.6,127.6,0,0
1994-05-31,127.3,127.3,127.3,127.3,0,0
1994-06-01,126.84,126.84,126.84,126.84,0,0
1994-06-03,127.29,127.29,127.29,127.29,0,0
1994-06-06,127.65,127.65,127.65,127.65,0,0
1994-06-07,126.99,126.99,126.99,126.99,0,0
1994-06-08,125.72,125.72,125.72,125.72,0,0
1994-06-09,125.94,125.94,125.94,125.94,0,0
1994-06-10,126.18,126.18,126.18,126.18,0,0
