Date,Open,High,Low,Close,Volume,OpenInt
1990-01-08,53.978,53.978,53.978,53.978,0,0
1990-01-15,53.835,53.835,53.835,53.835,0,0
1990-01-22,53.725,53.725,53.725,53.725,0,0
1990-01-29,54.203,54.203,54.203,54.203,0,0
1990-02-05,53.314,53.314,53.314,53.314,0,0
1990-02-12,53.66,53.66,53.66,53.66,0,0
1990-02-19,53.4,53.4,53.4,53.4,0,0
1990-02-26,53.818,53.818,53.818,53.818,0,0
1990-03-05,54.923,54.923,54.923,54.923,0,0
1990-03-12,55.374,55.374,55.374,55.374,0,0
1990-03-19,55.967,55.967,55.967,55.967,0,0
1990-03-26,56.251,56.251,56.251,56.251,0,0
1990-04-02,57.221,57.221,57.221,57.221,0,0
1990-04-09,58.384,58.384,58.384,58.384,0,0
1990-04-17,57.502,57.502,57.502,57.502,0,0
1990-04-23,58.933,58.933,58.933,58.933,0,0
1990-04-30,58.058,58.058,58.058,58.058,0,0
1990-05-07,58.803,58.803,58.803,58.803,0,0
1990-05-14,58.574,58.574,58.574,58.574,0,0
1990-05-21,56.518,56.518,56.518,56.518,0,0
1990-05-28,56.871,56.871,56.871,56.871,0,0
1990-06-04,55.654,55.654,55.654,55.654,0,0
1990-06-11,56.409,56.409,56.409,56.409,0,0
1990-06-18,56.945,56.945,56.945,56.945,0,0
1990-06-25,56.813,56.813,56.813,56.813,0,0
1990-07-02,57.371,57.371,57.371,57.371,0,0
1990-07-09,55.861,55.861,55.861,55.861,0,0
1990-07-16,55.818,55.818,55.818,55.818,0,0
1990-07-23,54.682,54.682,54.682,54.682,0,0
1990-07-30,54.996,54.996,54.996,54.996,0,0
1990-08-06,54.189,54.189,54.189,54.189,0,0
1990-08-13,55.369,55.369,55.369,55.369,0,0
1990-08-20,55.821,55.821,55.821,55.821,0,0
1990-08-27,54.39,54.39,54.39,54.39,0,0
1990-09-03,53.258,53.258,53.258,53.258,0,0
1990-09-10,53.361,53.361,53.361,53.361,0,0
1990-09-17,51.883,51.883,51.883,51.883,0,0
1990-09-24,50.867,50.867,50.867,50.867,0,0
1990-10-01,50.824,50.824,50.824,50.824,0,0
1990-10-08,50.738,50.738,50.738,50.738,0,0
1990-10-10,48.486,48.486,48.486,48.486,0,0
1990-10-15,48.279,48.279,48.279,48.279,0,0
1990-10-22,47.411,47.411,47.411,47.411,0,0
1990-10-29,47.169,47.169,47.169,47.169,0,0
1990-11-05,47.535,47.535,47.535,47.535,0,0
1990-11-12,47.136,47.136,47.136,47.136,0,0
1990-11-19,48.115,48.115,48.115,48.115,0,0
1990-11-26,48.036,48.036,48.036,48.036,0,0
1990-12-03,47.682,47.682,47.682,47.682,0,0
1990-12-10,49.662,49.662,49.662,49.662,0,0
1990-12-17,48.816,48.816,48.816,48.816,0,0
1990-12-24,49.125,49.125,49.125,49.125,0,0
1991-01-02,50.103,50.103,50.103,50.103,0,0
1991-01-03,49.723,49.723,49.723,49.723,0,0
1991-01-04,49.138,49.138,49.138,49.138,0,0
1991-01-07,49.054,49.054,49.054,49.054,0,0
1991-01-08,50.2,50.2,50.2,50.2,0,0
1991-01-09,50.063,50.063,50.063,50.063,0,0
1991-01-10,49.77,49.77,49.77,49.77,0,0
1991-01-11,49.648,49.648,49.648,49.648,0,0
1991-01-14,49.17,49.17,49.17,49.17,0,0
1991-01-15,49.763,49.763,49.763,49.763,0,0
1991-01-16,49.638,49.638,49.638,49.638,0,0
1991-01-17,50.154,50.154,50.154,50.154,0,0
1991-01-18,49.096,49.096,49.096,49.096,0,0
1991-01-21,49.099,49.099,49.099,49.099,0,0
1991-01-22,48.824,48.824,48.824,48.824,0,0
1991-01-23,48.328,48.328,48.328,48.328,0,0
1991-01-24,48.98,48.98,48.98,48.98,0,0
1991-01-25,48.795,48.795,48.795,48.795,0,0
1991-01-28,48.839,48.839,48.839,48.839,0,0
1991-01-29,49.083,49.083,49.083,49.083,0,0
1991-01-30,48.607,48.607,48.607,48.607,0,0
1991-01-31,48.816,48.816,48.816,48.816,0,0
1991-02-01,49.624,49.624,49.624,49.624,0,0
1991-02-04,49.002,49.002,49.002,49.002,0,0
1991-02-05,48.645,48.645,48.645,48.645,0,0
1991-02-06,48.345,48.345,48.345,48.345,0,0
1991-02-07,47.822,47.822,47.822,47.822,0,0
1991-02-08,47.772,47.772,47.772,47.772,0,0
1991-02-11,47.557,47.557,47.557,47.557,0,0
1991-02-12,47.412,47.412,47.412,47.412,0,0
1991-02-13,47.584,47.584,47.584,47.584,0,0
1991-02-14,47.923,47.923,47.923,47.923,0,0
1991-02-15,48.168,48.168,48.168,48.168,0,0
1991-02-18,47.744,47.744,47.744,47.744,0,0
1991-02-19,48.327,48.327,48.327,48.327,0,0
1991-02-20,48.593,48.593,48.593,48.593,0,0
1991-02-21,48.66,48.66,48.66,48.66,0,0
1991-02-22,48.537,48.537,48.537,48.537,0,0
1991-02-25,48.458,48.458,48.458,48.458,0,0
1991-02-26,48.912,48.912,48.912,48.912,0,0
1991-02-27,49.03,49.03,49.03,49.03,0,0
1991-02-28,48.761,48.761,48.761,48.761,0,0
1991-03-01,48.625,48.625,48.625,48.625,0,0
1991-03-04,49.26,49.26,49.26,49.26,0,0
1991-03-05,49.627,49.627,49.627,49.627,0,0
1991-03-06,49.44,49.44,49.44,49.44,0,0
