Date,Open,High,Low,Close,Volume,OpenInt
1984-01-02,23810,23810,23810,23810,0,0
1984-01-09,23719,23719,23719,23719,0,0
1984-01-16,23574,23574,23574,23574,0,0
1984-01-23,23674,23674,23674,23674,0,0
1984-01-30,23629,23629,23629,23629,0,0
1984-02-06,23708,23708,23708,23708,0,0
1984-02-13,23719,23719,23719,23719,0,0
1984-02-20,23861,23861,23861,23861,0,0
1984-03-01,21213,21213,21213,21213,0,0
1984-03-05,21372,21372,21372,21372,0,0
1984-03-12,20589,20589,20589,20589,0,0
1984-03-19,20683,20683,20683,20683,0,0
1984-03-26,20606,20606,20606,20606,0,0
1984-04-02,20563,20563,20563,20563,0,0
1984-04-09,20597,20597,20597,20597,0,0
1984-04-16,20580,20580,20580,20580,0,0
1984-04-24,20483,20483,20483,20483,0,0
1984-05-02,20450,20450,20450,20450,0,0
1984-05-07,20462,20462,20462,20462,0,0
1984-05-14,20547,20547,20547,20547,0,0
1984-05-21,20781,20781,20781,20781,0,0
1984-05-28,20995,20995,20995,20995,0,0
1984-06-04,20899,20899,20899,20899,0,0
1984-06-11,20794,20794,20794,20794,0,0
1984-06-18,20947,20947,20947,20947,0,0
1984-06-25,20960,20960,20960,20960,0,0
1984-07-02,21227,21227,21227,21227,0,0
1984-07-09,21386,21386,21386,21386,0,0
1984-07-16,21482,21482,21482,21482,0,0
1984-07-23,21492,21492,21492,21492,0,0
1984-07-30,21825,21825,21825,21825,0,0
1984-08-06,21650,21650,21650,21650,0,0
1984-08-13,21519,21519,21519,21519,0,0
1984-08-20,21441,21441,21441,21441,0,0
1984-08-27,21377,21377,21377,21377,0,0
1984-09-01,19581,19581,19581,19581,0,0
1984-09-10,19658,19658,19658,19658,0,0
1984-09-17,19635,19635,19635,19635,0,0
1984-09-24,19589,19589,19589,19589,0,0
1984-10-01,19558,19558,19558,19558,0,0
1984-10-08,19608,19608,19608,19608,0,0
1984-10-15,19662,19662,19662,19662,0,0
1984-10-22,19643,19643,19643,19643,0,0
1984-10-29,19493,19493,19493,19493,0,0
1984-11-05,19539,19539,19539,19539,0,0
1984-11-12,19554,19554,19554,19554,0,0
1984-11-19,19387,19387,19387,19387,0,0
1984-11-26,19531,19531,19531,19531,0,0
1984-12-01,19569,19569,19569,19569,0,0
1984-12-10,19596,19596,19596,19596,0,0
1984-12-17,19562,19562,19562,19562,0,0
1984-12-24,19569,19569,19569,19569,0,0
1985-01-01,17953,17953,17953,17953,0,0
1985-01-07,18132,18132,18132,18132,0,0
1985-01-14,18315,18315,18315,18315,0,0
1985-01-21,18305,18305,18305,18305,0,0
1985-01-28,18258,18258,18258,18258,0,0
1985-02-04,18272,18272,18272,18272,0,0
1985-02-11,18580,18580,18580,18580,0,0
1985-02-18,18625,18625,18625,18625,0,0
1985-02-25,18481,18481,18481,18481,0,0
1985-03-04,18295,18295,18295,18295,0,0
1985-03-11,18376,18376,18376,18376,0,0
1985-03-18,18386,18386,18386,18386,0,0
1985-03-25,18443,18443,18443,18443,0,0
1985-03-29,18322,18322,18322,18322,0,0
1985-04-01,18305,18305,18305,18305,0,0
1985-04-09,18430,18430,18430,18430,0,0
1985-04-15,18491,18491,18491,18491,0,0
1985-04-22,18396,18396,18396,18396,0,0
1985-04-29,18252,18252,18252,18252,0,0
1985-05-06,18396,18396,18396,18396,0,0
1985-05-13,18272,18272,18272,18272,0,0
1985-05-20,18372,18372,18372,18372,0,0
1985-05-27,18355,18355,18355,18355,0,0
1985-06-01,15795,15795,15795,15795,0,0
1985-06-10,15850,15850,15850,15850,0,0
1985-06-17,15721,15721,15721,15721,0,0
1985-06-24,15684,15684,15684,15684,0,0
1985-07-01,15711,15711,15711,15711,0,0
1985-07-08,15716,15716,15716,15716,0,0
1985-07-15,15694,15694,15694,15694,0,0
1985-07-23,15370,15370,15370,15370,0,0
1985-07-29,15439,15439,15439,15439,0,0
1985-08-05,15456,15456,15456,15456,0,0
1985-08-12,15442,15442,15442,15442,0,0
1985-08-19,15475,15475,15475,15475,0,0
1985-08-26,15530,15530,15530,15530,0,0
1985-09-02,15489,15489,15489,15489,0,0
1985-09-09,15492,15492,15492,15492,0,0
1985-09-16,15564,15564,15564,15564,0,0
1985-09-23,15581,15581,15581,15581,0,0
1985-09-30,15175,15175,15175,15175,0,0
1985-10-07,14358,14358,14358,14358,0,0
1985-10-14,14349,14349,14349,14349,0,0
1985-10-21,14316,14316,14316,14316,0,0
1985-10-28,14347,14347,14347,14347,0,0
1985-11-04,14172,14172,14172,14172,0,0
1985-11-11,13902,13902,13902,13902,0,0
1985-11-18,13704,13704,13704,13704,0,0
1985-11-25,13548,13548,13548,13548,0,0
1985-12-02,13552,13552,13552,13552,0,0
1985-12-09,13866,13866,13866,13866,0,0
1985-12-16,13723,13723,13723,13723,0,0
1985-12-23,13650,13650,13650,13650,0,0
1986-01-01,13687,13687,13687,13687,0,0
1986-01-06,13669,13669,13669,13669,0,0
1986-01-13,13731,13731,13731,13731,0,0
1986-01-20,13776,13776,13776,13776,0,0
1986-01-27,13765,13765,13765,13765,0,0
1986-02-01,11523,11523,11523,11523,0,0
1986-02-10,11279,11279,11279,11279,0,0
1986-02-17,11086,11086,11086,11086,0,0
1986-02-24,10807,10807,10807,10807,0,0
1986-03-01,10927,10927,10927,10927,0,0
1986-03-03,10927,10927,10927,10927,0,0
1986-03-10,10864,10864,10864,10864,0,0
1986-03-17,10810,10810,10810,10810,0,0
1986-03-18,10810,10810,10810,10810,0,0
1986-03-24,10554,10554,10554,10554,0,0
1986-04-01,10739,10739,10739,10739,0,0
1986-04-07,10636,10636,10636,10636,0,0
1986-04-09,10636,10636,10636,10636,0,0
1986-04-14,10725,10725,10725,10725,0,0
1986-04-21,10685,10685,10685,10685,0,0
1986-04-28,10356,10356,10356,10356,0,0
1986-05-05,10224,10224,10224,10224,0,0
1986-05-12,10131,10131,10131,10131,0,0
1986-05-19,9853.19,9853.19,9853.19,9853.19,0,0
1986-05-26,10119,10119,10119,10119,0,0
1986-06-02,10198,10198,10198,10198,0,0
1986-06-09,10322,10322,10322,10322,0,0
1986-06-16,10167,10167,10167,10167,0,0
1986-06-23,10125,10125,10125,10125,0,0
1986-06-30,10105,10105,10105,10105,0,0
1986-07-07,9960.16,9960.16,9960.16,9960.16,0,0
1986-07-14,9836.71,9836.71,9836.71,9836.71,0,0
1986-07-21,9764.67,9764.67,9764.67,9764.67,0,0
1986-07-28,9562.06,9562.06,9562.06,9562.06,0,0
1986-08-04,9616.31,9616.31,9616.31,9616.31,0,0
1986-08-11,9557.49,9557.49,9557.49,9557.49,0,0
1986-08-18,9576.71,9576.71,9576.71,9576.71,0,0
1986-08-25,9566.63,9566.63,9566.63,9566.63,0,0
1986-09-01,7700.01,7700.01,7700.01,7700.01,0,0
1986-09-08,7728.57,7728.57,7728.57,7728.57,0,0
1986-09-15,7777.26,7777.26,7777.26,7777.26,0,0
1986-09-22,7780.28,7780.28,7780.28,7780.28,0,0
1986-09-29,7710.1,7710.1,7710.1,7710.1,0,0
1986-10-06,7698.23,7698.23,7698.23,7698.23,0,0
1986-10-13,7752.54,7752.54,7752.54,7752.54,0,0
1986-10-20,7765.18,7765.18,7765.18,7765.18,0,0
1986-10-27,7807.62,7807.62,7807.62,7807.62,0,0
1986-11-01,7971.3,7971.3,7971.3,7971.3,0,0
1986-11-10,8179.29,8179.29,8179.29,8179.29,0,0
1986-11-17,8116.88,8116.88,8116.88,8116.88,0,0
1986-11-24,8169.93,8169.93,8169.93,8169.93,0,0
1986-12-01,8220.3,8220.3,8220.3,8220.3,0,0
1986-12-08,8184.65,8184.65,8184.65,8184.65,0,0
1986-12-15,8157.94,8157.94,8157.94,8157.94,0,0
1986-12-22,8209.51,8209.51,8209.51,8209.51,0,0
1986-12-31,8073.63,8073.63,8073.63,8073.63,0,0
1987-01-12,8079.5,8079.5,8079.5,8079.5,0,0
1987-01-19,7994.88,7994.88,7994.88,7994.88,0,0
1987-01-26,7908.26,7908.26,7908.26,7908.26,0,0
1987-02-01,6341.56,6341.56,6341.56,6341.56,0,0
1987-02-09,6369.43,6369.43,6369.43,6369.43,0,0
1987-02-16,6371.86,6371.86,6371.86,6371.86,0,0
1987-02-23,6385.7,6385.7,6385.7,6385.7,0,0
1987-03-02,6391.41,6391.41,6391.41,6391.41,0,0
1987-03-09,6387.74,6387.74,6387.74,6387.74,0,0
1987-03-16,6382.84,6382.84,6382.84,6382.84,0,0
1987-03-23,6296.83,6296.83,6296.83,6296.83,0,0
1987-03-30,6214.65,6214.65,6214.65,6214.65,0,0
1987-04-06,5978,5978,5978,5978,0,0
1987-04-13,5947.78,5947.78,5947.78,5947.78,0,0
1987-04-21,5809.9,5809.9,5809.9,5809.9,0,0
1987-04-27,5699.95,5699.95,5699.95,5699.95,0,0
1987-05-04,5611.99,5611.99,5611.99,5611.99,0,0
1987-05-11,5599.73,5599.73,5599.73,5599.73,0,0
1987-05-18,5618.29,5618.29,5618.29,5618.29,0,0
1987-05-25,5509.64,5509.64,5509.64,5509.64,0,0
1987-06-01,5591.9,5591.9,5591.9,5591.9,0,0
1987-06-08,5641.75,5641.75,5641.75,5641.75,0,0
1987-06-15,5595.03,5595.03,5595.03,5595.03,0,0
1987-06-22,5620.5,5620.5,5620.5,5620.5,0,0
1987-06-29,5571.96,5571.96,5571.96,5571.96,0,0
1987-07-06,5600.67,5600.67,5600.67,5600.67,0,0
1987-07-13,5685.69,5685.69,5685.69,5685.69,0,0
1987-07-20,5720.17,5720.17,5720.17,5720.17,0,0
1987-07-27,5673.76,5673.76,5673.76,5673.76,0,0
1987-08-03,5599.42,5599.42,5599.42,5599.42,0,0
1987-08-10,5445.14,5445.14,5445.14,5445.14,0,0
1987-08-17,5420.64,5420.64,5420.64,5420.64,0,0
1987-08-24,5209.69,5209.69,5209.69,5209.69,0,0
1987-08-31,5069.19,5069.19,5069.19,5069.19,0,0
1987-09-07,4917.63,4917.63,4917.63,4917.63,0,0
1987-09-14,4941.2,4941.2,4941.2,4941.2,0,0
1987-09-21,4887.35,4887.35,4887.35,4887.35,0,0
1987-09-28,4871.87,4871.87,4871.87,4871.87,0,0
1987-10-05,4913.76,4913.76,4913.76,4913.76,0,0
1987-10-12,4937.05,4937.05,4937.05,4937.05,0,0
1987-10-19,4858.14,4858.14,4858.14,4858.14,0,0
1987-10-26,4752.4,4752.4,4752.4,4752.4,0,0
1987-11-02,4667.66,4667.66,4667.66,4667.66,0,0
1987-11-09,4430.27,4430.27,4430.27,4430.27,0,0
