Date,Open,High,Low,Close,Volume,OpenInt
1984-01-09,46.308,46.308,46.308,46.308,0,0
1984-01-16,45.505,45.505,45.505,45.505,0,0
1984-01-23,45.11,45.11,45.11,45.11,0,0
1984-01-30,44.631,44.631,44.631,44.631,0,0
1984-02-06,43.927,43.927,43.927,43.927,0,0
1984-02-13,43.682,43.682,43.682,43.682,0,0
1984-02-20,43.685,43.685,43.685,43.685,0,0
1984-03-01,40.551,40.551,40.551,40.551,0,0
1984-03-05,39.892,39.892,39.892,39.892,0,0
1984-03-12,40.559,40.559,40.559,40.559,0,0
1984-03-19,40.773,40.773,40.773,40.773,0,0
1984-03-26,40.426,40.426,40.426,40.426,0,0
1984-04-02,41.032,41.032,41.032,41.032,0,0
1984-04-09,41.675,41.675,41.675,41.675,0,0
1984-04-16,41.748,41.748,41.748,41.748,0,0
1984-04-24,41.651,41.651,41.651,41.651,0,0
1984-05-02,41.356,41.356,41.356,41.356,0,0
1984-05-07,42.798,42.798,42.798,42.798,0,0
1984-05-14,41.907,41.907,41.907,41.907,0,0
1984-05-21,41.326,41.326,41.326,41.326,0,0
1984-05-28,41.326,41.326,41.326,41.326,0,0
1984-06-04,42.47,42.47,42.47,42.47,0,0
1984-06-11,43.652,43.652,43.652,43.652,0,0
1984-06-18,43.536,43.536,43.536,43.536,0,0
1984-06-25,44.608,44.608,44.608,44.608,0,0
1984-07-02,44.213,44.213,44.213,44.213,0,0
1984-07-09,44.959,44.959,44.959,44.959,0,0
1984-07-16,46.026,46.026,46.026,46.026,0,0
1984-07-23,46.59,46.59,46.59,46.59,0,0
1984-07-30,49.526,49.526,49.526,49.526,0,0
1984-08-06,47.378,47.378,47.378,47.378,0,0
1984-08-13,45.855,45.855,45.855,45.855,0,0
1984-08-20,47.368,47.368,47.368,47.368,0,0
1984-08-27,47.038,47.038,47.038,47.038,0,0
1984-09-01,47.038,47.038,47.038,47.038,0,0
1984-09-10,46.919,46.919,46.919,46.919,0,0
1984-09-17,47.841,47.841,47.841,47.841,0,0
1984-09-24,45.342,45.342,45.342,45.342,0,0
1984-10-01,45.751,45.751,45.751,45.751,0,0
1984-10-08,46.873,46.873,46.873,46.873,0,0
1984-10-15,46.584,46.584,46.584,46.584,0,0
1984-10-22,46.849,46.849,46.849,46.849,0,0
1984-10-29,46.749,46.749,46.749,46.749,0,0
1984-11-05,45.251,45.251,45.251,45.251,0,0
1984-11-12,45.002,45.002,45.002,45.002,0,0
1984-11-19,45.529,45.529,45.529,45.529,0,0
1984-11-26,45.041,45.041,45.041,45.041,0,0
1984-12-01,45.039,45.039,45.039,45.039,0,0
1984-12-10,47.602,47.602,47.602,47.602,0,0
1984-12-17,48.529,48.529,48.529,48.529,0,0
1984-12-24,48.529,48.529,48.529,48.529,0,0
1985-01-01,48.532,48.532,48.532,48.532,0,0
1985-01-07,49.623,49.623,49.623,49.623,0,0
1985-01-14,49.986,49.986,49.986,49.986,0,0
1985-01-21,48.719,48.719,48.719,48.719,0,0
1985-01-28,48.31,48.31,48.31,48.31,0,0
1985-02-04,49.258,49.258,49.258,49.258,0,0
1985-02-11,48.732,48.732,48.732,48.732,0,0
1985-02-18,48.733,48.733,48.733,48.733,0,0
1985-02-25,51.284,51.284,51.284,51.284,0,0
1985-03-04,49.985,49.985,49.985,49.985,0,0
1985-03-11,51.992,51.992,51.992,51.992,0,0
1985-03-18,50.383,50.383,50.383,50.383,0,0
1985-03-25,50.615,50.615,50.615,50.615,0,0
1985-03-29,49.715,49.715,49.715,49.715,0,0
1985-04-01,49.874,49.874,49.874,49.874,0,0
1985-04-09,49.306,49.306,49.306,49.306,0,0
1985-04-15,50.563,50.563,50.563,50.563,0,0
1985-04-22,51.739,51.739,51.739,51.739,0,0
1985-04-29,50.81,50.81,50.81,50.81,0,0
1985-05-06,50.163,50.163,50.163,50.163,0,0
1985-05-13,48.922,48.922,48.922,48.922,0,0
1985-05-20,51.143,51.143,51.143,51.143,0,0
1985-05-27,51.143,51.143,51.143,51.143,0,0
1985-06-01,51.138,51.138,51.138,51.138,0,0
1985-06-10,51.408,51.408,51.408,51.408,0,0
1985-06-17,51.485,51.485,51.485,51.485,0,0
1985-06-24,51.776,51.776,51.776,51.776,0,0
1985-07-01,51.8,51.8,51.8,51.8,0,0
1985-07-08,51.988,51.988,51.988,51.988,0,0
1985-07-15,51.519,51.519,51.519,51.519,0,0
1985-07-23,51.753,51.753,51.753,51.753,0,0
1985-07-29,51.381,51.381,51.381,51.381,0,0
1985-08-05,53.323,53.323,53.323,53.323,0,0
1985-08-12,52.873,52.873,52.873,52.873,0,0
1985-08-19,54.628,54.628,54.628,54.628,0,0
1985-08-26,53.16,53.16,53.16,53.16,0,0
1985-09-02,53.16,53.16,53.16,53.16,0,0
1985-09-09,53.136,53.136,53.136,53.136,0,0
1985-09-16,53.024,53.024,53.024,53.024,0,0
1985-09-23,53.307,53.307,53.307,53.307,0,0
1985-09-30,53.71,53.71,53.71,53.71,0,0
1985-10-07,51.561,51.561,51.561,51.561,0,0
1985-10-14,52.101,52.101,52.101,52.101,0,0
1985-10-21,53.044,53.044,53.044,53.044,0,0
1985-10-28,52.878,52.878,52.878,52.878,0,0
1985-11-04,53.448,53.448,53.448,53.448,0,0
1985-11-11,53.11,53.11,53.11,53.11,0,0
1985-11-18,53.142,53.142,53.142,53.142,0,0
1985-11-25,51.822,51.822,51.822,51.822,0,0
1985-12-02,52.406,52.406,52.406,52.406,0,0
1985-12-09,53.932,53.932,53.932,53.932,0,0
1985-12-16,54.059,54.059,54.059,54.059,0,0
1985-12-23,56.12,56.12,56.12,56.12,0,0
1986-01-01,56.12,56.12,56.12,56.12,0,0
1986-01-06,52.743,52.743,52.743,52.743,0,0
1986-01-13,52.865,52.865,52.865,52.865,0,0
1986-01-20,53.72,53.72,53.72,53.72,0,0
1986-01-27,53.682,53.682,53.682,53.682,0,0
1986-02-01,53.682,53.682,53.682,53.682,0,0
1986-02-10,54.181,54.181,54.181,54.181,0,0
1986-02-17,54.182,54.182,54.182,54.182,0,0
1986-02-24,57.164,57.164,57.164,57.164,0,0
1986-03-01,57.168,57.168,57.168,57.168,0,0
1986-03-03,59.323,59.323,59.323,59.323,0,0
1986-03-10,59.91,59.91,59.91,59.91,0,0
1986-03-17,59.458,59.458,59.458,59.458,0,0
1986-03-18,60.086,60.086,60.086,60.086,0,0
1986-03-24,60.569,60.569,60.569,60.569,0,0
1986-04-01,65.693,65.693,65.693,65.693,0,0
1986-04-07,63.078,63.078,63.078,63.078,0,0
1986-04-09,62.789,62.789,62.789,62.789,0,0
1986-04-14,62.812,62.812,62.812,62.812,0,0
1986-04-21,67.784,67.784,67.784,67.784,0,0
1986-04-28,67.934,67.934,67.934,67.934,0,0
1986-05-05,65.937,65.937,65.937,65.937,0,0
1986-05-12,66.311,66.311,66.311,66.311,0,0
1986-05-19,69.669,69.669,69.669,69.669,0,0
1986-05-26,69.669,69.669,69.669,69.669,0,0
1986-06-02,66.752,66.752,66.752,66.752,0,0
1986-06-09,65.593,65.593,65.593,65.593,0,0
1986-06-16,66.564,66.564,66.564,66.564,0,0
1986-06-23,67.708,67.708,67.708,67.708,0,0
1986-06-30,67.249,67.249,67.249,67.249,0,0
1986-07-07,67.557,67.557,67.557,67.557,0,0
1986-07-14,68.322,68.322,68.322,68.322,0,0
1986-07-21,70.002,70.002,70.002,70.002,0,0
1986-07-28,70.04,70.04,70.04,70.04,0,0
1986-08-04,70.443,70.443,70.443,70.443,0,0
1986-08-11,71.286,71.286,71.286,71.286,0,0
1986-08-18,74.767,74.767,74.767,74.767,0,0
1986-08-25,74.185,74.185,74.185,74.185,0,0
1986-09-01,74.184,74.184,74.184,74.184,0,0
1986-09-08,72.414,72.414,72.414,72.414,0,0
1986-09-15,70.975,70.975,70.975,70.975,0,0
1986-09-22,73.587,73.587,73.587,73.587,0,0
1986-09-29,76.955,76.955,76.955,76.955,0,0
1986-10-06,76.083,76.083,76.083,76.083,0,0
1986-10-13,76.432,76.432,76.432,76.432,0,0
1986-10-20,73.439,73.439,73.439,73.439,0,0
1986-10-27,72.361,72.361,72.361,72.361,0,0
1986-11-01,72.363,72.363,72.363,72.363,0,0
1986-11-10,70.744,70.744,70.744,70.744,0,0
1986-11-17,70.653,70.653,70.653,70.653,0,0
1986-11-24,71.477,71.477,71.477,71.477,0,0
1986-12-01,71.748,71.748,71.748,71.748,0,0
1986-12-08,72.105,72.105,72.105,72.105,0,0
1986-12-15,71.657,71.657,71.657,71.657,0,0
1986-12-22,72.849,72.849,72.849,72.849,0,0
1986-12-31,74.522,74.522,74.522,74.522,0,0
1987-01-12,73.25,73.25,73.25,73.25,0,0
1987-01-19,74.13,74.13,74.13,74.13,0,0
1987-01-26,72.283,72.283,72.283,72.283,0,0
1987-02-01,72.285,72.285,72.285,72.285,0,0
1987-02-09,72.976,72.976,72.976,72.976,0,0
1987-02-16,72.975,72.975,72.975,72.975,0,0
1987-02-23,73.033,73.033,73.033,73.033,0,0
1987-03-02,73.215,73.215,73.215,73.215,0,0
1987-03-09,72.46,72.46,72.46,72.46,0,0
1987-03-16,72.35,72.35,72.35,72.35,0,0
1987-03-23,71.073,71.073,71.073,71.073,0,0
1987-03-30,67.281,67.281,67.281,67.281,0,0
1987-04-06,64.226,64.226,64.226,64.226,0,0
1987-04-13,64.162,64.162,64.162,64.162,0,0
1987-04-21,57.307,57.307,57.307,57.307,0,0
1987-04-27,53.159,53.159,53.159,53.159,0,0
1987-05-04,53.106,53.106,53.106,53.106,0,0
1987-05-11,52.974,52.974,52.974,52.974,0,0
1987-05-18,51.786,51.786,51.786,51.786,0,0
1987-05-25,51.786,51.786,51.786,51.786,0,0
1987-06-01,60.537,60.537,60.537,60.537,0,0
1987-06-08,59.542,59.542,59.542,59.542,0,0
1987-06-15,59.466,59.466,59.466,59.466,0,0
1987-06-22,65.596,65.596,65.596,65.596,0,0
1987-06-29,62.417,62.417,62.417,62.417,0,0
1987-07-06,58.787,58.787,58.787,58.787,0,0
1987-07-13,58.335,58.335,58.335,58.335,0,0
1987-07-20,58.665,58.665,58.665,58.665,0,0
1987-07-27,58.381,58.381,58.381,58.381,0,0
1987-08-03,55.363,55.363,55.363,55.363,0,0
1987-08-10,60.644,60.644,60.644,60.644,0,0
1987-08-17,61.096,61.096,61.096,61.096,0,0
1987-08-24,59.031,59.031,59.031,59.031,0,0
1987-08-31,60.915,60.915,60.915,60.915,0,0
1987-09-07,60.918,60.918,60.918,60.918,0,0
1987-09-14,59.691,59.691,59.691,59.691,0,0
1987-09-21,60.245,60.245,60.245,60.245,0,0
1987-09-28,60.492,60.492,60.492,60.492,0,0
1987-10-05,59.949,59.949,59.949,59.949,0,0
1987-10-12,59.225,59.225,59.225,59.225,0,0
1987-10-19,58.792,58.792,58.792,58.792,0,0
1987-10-26,64.091,64.091,64.091,64.091,0,0
1987-11-02,67.889,67.889,67.889,67.889,0,0
1987-11-09,70.842,70.842,70.842,70.842,0,0
1987-11-16,70.029,70.029,70.029,70.029,0,0
1987-11-23,68.489,68.489,68.489,68.489,0,0
1987-11-30,69.152,69.152,69.152,69.152,0,0
1987-12-07,71.544,71.544,71.544,71.544,0,0
1987-12-14,70.38,70.38,70.38,70.38,0,0
1987-12-21,69.999,69.999,69.999,69.999,0,0
1987-12-28,70.662,70.662,70.662,70.662,0,0
1988-01-04,73.359,73.359,73.359,73.359,0,0
