Date,Open,High,Low,Close,Volume,OpenInt
1984-01-09,149.01,149.01,149.01,149.01,0,0
1984-01-16,149.82,149.82,149.82,149.82,0,0
1984-01-23,148.6,148.6,148.6,148.6,0,0
1984-01-30,154.41,154.41,154.41,154.41,0,0
1984-02-06,155.22,155.22,155.22,155.22,0,0
1984-02-13,152.38,152.38,152.38,152.38,0,0
1984-02-20,152.3,152.3,152.3,152.3,0,0
1984-03-01,160.45,160.45,160.45,160.45,0,0
1984-03-05,164.03,164.03,164.03,164.03,0,0
1984-03-12,158.93,158.93,158.93,158.93,0,0
1984-03-19,158.32,158.32,158.32,158.32,0,0
1984-03-26,159.09,159.09,159.09,159.09,0,0
1984-04-02,155.43,155.43,155.43,155.43,0,0
1984-04-09,157.63,157.63,157.63,157.63,0,0
1984-04-16,156.2,156.2,156.2,156.2,0,0
1984-04-24,160.59,160.59,160.59,160.59,0,0
1984-05-02,153.99,153.99,153.99,153.99,0,0
1984-05-07,151.79,151.79,151.79,151.79,0,0
1984-05-14,153.21,153.21,153.21,153.21,0,0
1984-05-21,156.16,156.16,156.16,156.16,0,0
1984-05-28,156.16,156.16,156.16,156.16,0,0
1984-06-04,158.2,158.2,158.2,158.2,0,0
1984-06-11,150.36,150.36,150.36,150.36,0,0
1984-06-18,153.16,153.16,153.16,153.16,0,0
1984-06-25,149.88,149.88,149.88,149.88,0,0
1984-07-02,148.42,148.42,148.42,148.42,0,0
1984-07-09,140.94,140.94,140.94,140.94,0,0
1984-07-16,138.62,138.62,138.62,138.62,0,0
1984-07-23,131.82,131.82,131.82,131.82,0,0
1984-07-30,129.95,129.95,129.95,129.95,0,0
1984-08-06,131.53,131.53,131.53,131.53,0,0
1984-08-13,131.53,131.53,131.53,131.53,0,0
1984-08-20,131.4,131.4,131.4,131.4,0,0
1984-08-27,132.48,132.48,132.48,132.48,0,0
1984-09-01,132.51,132.51,132.51,132.51,0,0
1984-09-10,126.38,126.38,126.38,126.38,0,0
1984-09-17,123.04,123.04,123.04,123.04,0,0
1984-09-24,128.35,128.35,128.35,128.35,0,0
1984-10-01,127.3,127.3,127.3,127.3,0,0
1984-10-08,126.41,126.41,126.41,126.41,0,0
1984-10-15,128.73,128.73,128.73,128.73,0,0
1984-10-22,127.48,127.48,127.48,127.48,0,0
1984-10-29,124.61,124.61,124.61,124.61,0,0
1984-11-05,131.74,131.74,131.74,131.74,0,0
1984-11-12,130.7,130.7,130.7,130.7,0,0
1984-11-19,127.07,127.07,127.07,127.07,0,0
1984-11-26,124.53,124.53,124.53,124.53,0,0
1984-12-01,124.45,124.45,124.45,124.45,0,0
1984-12-10,123.59,123.59,123.59,123.59,0,0
1984-12-17,117.35,117.35,117.35,117.35,0,0
1984-12-24,117.28,117.28,117.28,117.28,0,0
1985-01-01,117.38,117.38,117.38,117.38,0,0
1985-01-07,108.78,108.78,108.78,108.78,0,0
1985-01-14,105.88,105.88,105.88,105.88,0,0
1985-01-21,109.07,109.07,109.07,109.07,0,0
1985-01-28,106.82,106.82,106.82,106.82,0,0
1985-02-04,107.42,107.42,107.42,107.42,0,0
1985-02-11,107.47,107.47,107.47,107.47,0,0
1985-02-18,107.53,107.53,107.53,107.53,0,0
1985-02-25,95.543,95.543,95.543,95.543,0,0
1985-03-04,99.217,99.217,99.217,99.217,0,0
1985-03-11,94.595,94.595,94.595,94.595,0,0
1985-03-18,101.6,101.6,101.6,101.6,0,0
1985-03-25,105.79,105.79,105.79,105.79,0,0
1985-03-29,112.16,112.16,112.16,112.16,0,0
1985-04-01,105.85,105.85,105.85,105.85,0,0
1985-04-09,113.68,113.68,113.68,113.68,0,0
1985-04-15,117.46,117.46,117.46,117.46,0,0
1985-04-22,113,113,113,113,0,0
1985-04-29,113.72,113.72,113.72,113.72,0,0
1985-05-06,102.95,102.95,102.95,102.95,0,0
1985-05-13,113,113,113,113,0,0
1985-05-20,106.81,106.81,106.81,106.81,0,0
1985-05-27,106.81,106.81,106.81,106.81,0,0
1985-06-01,106.68,106.68,106.68,106.68,0,0
1985-06-10,103.58,103.58,103.58,103.58,0,0
1985-06-17,105.69,105.69,105.69,105.69,0,0
1985-06-24,107.1,107.1,107.1,107.1,0,0
1985-07-01,99.115,99.115,99.115,99.115,0,0
1985-07-08,105.45,105.45,105.45,105.45,0,0
1985-07-15,106.89,106.89,106.89,106.89,0,0
1985-07-23,108.26,108.26,108.26,108.26,0,0
1985-07-29,112.28,112.28,112.28,112.28,0,0
1985-08-05,113.45,113.45,113.45,113.45,0,0
1985-08-12,118.03,118.03,118.03,118.03,0,0
1985-08-19,135.51,135.51,135.51,135.51,0,0
1985-08-26,133,133,133,133,0,0
1985-09-02,133,133,133,133,0,0
1985-09-09,125.89,125.89,125.89,125.89,0,0
1985-09-16,123.64,123.64,123.64,123.64,0,0
1985-09-23,127.72,127.72,127.72,127.72,0,0
1985-09-30,122.5,122.5,122.5,122.5,0,0
1985-10-07,127.9,127.9,127.9,127.9,0,0
1985-10-14,129.53,129.53,129.53,129.53,0,0
1985-10-21,130.48,130.48,130.48,130.48,0,0
1985-10-28,134.03,134.03,134.03,134.03,0,0
1985-11-04,129.91,129.91,129.91,129.91,0,0
1985-11-11,130.45,130.45,130.45,130.45,0,0
1985-11-18,131.89,131.89,131.89,131.89,0,0
1985-11-25,140.46,140.46,140.46,140.46,0,0
1985-12-02,137.89,137.89,137.89,137.89,0,0
1985-12-09,127.53,127.53,127.53,127.53,0,0
1985-12-16,133.8,133.8,133.8,133.8,0,0
1985-12-23,133.53,133.53,133.53,133.53,0,0
1986-01-01,133.53,133.53,133.53,133.53,0,0
1986-01-06,142.94,142.94,142.94,142.94,0,0
1986-01-13,143.2,143.2,143.2,143.2,0,0
1986-01-20,147.25,147.25,147.25,147.25,0,0
1986-01-27,147.65,147.65,147.65,147.65,0,0
1986-02-01,147.63,147.63,147.63,147.63,0,0
1986-02-10,140.44,140.44,140.44,140.44,0,0
1986-02-17,140.33,140.33,140.33,140.33,0,0
1986-02-24,161.05,161.05,161.05,161.05,0,0
1986-03-01,160.91,160.91,160.91,160.91,0,0
1986-03-03,154.59,154.59,154.59,154.59,0,0
1986-03-10,154.38,154.38,154.38,154.38,0,0
1986-03-17,162.02,162.02,162.02,162.02,0,0
1986-03-18,163.16,163.16,163.16,163.16,0,0
1986-03-24,164.99,164.99,164.99,164.99,0,0
1986-04-01,153.88,153.88,153.88,153.88,0,0
1986-04-07,162.74,162.74,162.74,162.74,0,0
1986-04-09,164.98,164.98,164.98,164.98,0,0
1986-04-14,162.74,162.74,162.74,162.74,0,0
1986-04-21,158.62,158.62,158.62,158.62,0,0
