Date,Open,High,Low,Close,Volume,OpenInt
1993-01-04,9.2612,9.2612,9.2612,9.2612,0,0
1993-01-05,9.3403,9.3403,9.3403,9.3403,0,0
1993-01-06,9.303,9.303,9.303,9.303,0,0
1993-01-07,9.2918,9.2918,9.2918,9.2918,0,0
1993-01-08,9.2259,9.2259,9.2259,9.2259,0,0
1993-01-11,9.2885,9.2885,9.2885,9.2885,0,0
1993-01-12,9.2809,9.2809,9.2809,9.2809,0,0
1993-01-13,9.2821,9.2821,9.2821,9.2821,0,0
1993-01-14,9.2791,9.2791,9.2791,9.2791,0,0
1993-01-15,9.2457,9.2457,9.2457,9.2457,0,0
1993-01-18,9.2528,9.2528,9.2528,9.2528,0,0
1993-01-19,9.2683,9.2683,9.2683,9.2683,0,0
1993-01-20,9.2487,9.2487,9.2487,9.2487,0,0
1993-01-21,9.2444,9.2444,9.2444,9.2444,0,0
1993-01-22,9.2648,9.2648,9.2648,9.2648,0,0
1993-01-25,9.3081,9.3081,9.3081,9.3081,0,0
1993-01-26,9.2857,9.2857,9.2857,9.2857,0,0
1993-01-27,9.2762,9.2762,9.2762,9.2762,0,0
1993-01-28,9.2893,9.2893,9.2893,9.2893,0,0
1993-01-29,9.2396,9.2396,9.2396,9.2396,0,0
1993-02-01,9.2147,9.2147,9.2147,9.2147,0,0
1993-02-02,9.2017,9.2017,9.2017,9.2017,0,0
1993-02-03,9.1818,9.1818,9.1818,9.1818,0,0
1993-02-04,9.1518,9.1518,9.1518,9.1518,0,0
1993-02-05,9.1811,9.1811,9.1811,9.1811,0,0
1993-02-08,9.137,9.137,9.137,9.137,0,0
1993-02-09,9.1422,9.1422,9.1422,9.1422,0,0
1993-02-10,9.1323,9.1323,9.1323,9.1323,0,0
1993-02-11,9.1212,9.1212,9.1212,9.1212,0,0
1993-02-12,9.0934,9.0934,9.0934,9.0934,0,0
1993-02-15,9.0851,9.0851,9.0851,9.0851,0,0
1993-02-16,9.1295,9.1295,9.1295,9.1295,0,0
1993-02-17,9.1264,9.1264,9.1264,9.1264,0,0
1993-02-18,9.1209,9.1209,9.1209,9.1209,0,0
1993-02-19,9.0839,9.0839,9.0839,9.0839,0,0
1993-02-22,9.0796,9.0796,9.0796,9.0796,0,0
1993-02-23,9.0793,9.0793,9.0793,9.0793,0,0
1993-02-24,9.0712,9.0712,9.0712,9.0712,0,0
1993-02-25,9.0596,9.0596,9.0596,9.0596,0,0
1993-02-26,9.0274,9.0274,9.0274,9.0274,0,0
1993-03-01,9.0164,9.0164,9.0164,9.0164,0,0
1993-03-02,9.0248,9.0248,9.0248,9.0248,0,0
1993-03-03,8.9921,8.9921,8.9921,8.9921,0,0
1993-03-04,8.9715,8.9715,8.9715,8.9715,0,0
1993-03-05,8.9266,8.9266,8.9266,8.9266,0,0
1993-03-08,8.9319,8.9319,8.9319,8.9319,0,0
1993-03-09,8.9059,8.9059,8.9059,8.9059,0,0
1993-03-10,8.9231,8.9231,8.9231,8.9231,0,0
1993-03-11,8.9145,8.9145,8.9145,8.9145,0,0
1993-03-12,8.8974,8.8974,8.8974,8.8974,0,0
1993-03-15,8.8957,8.8957,8.8957,8.8957,0,0
1993-03-16,8.8923,8.8923,8.8923,8.8923,0,0
1993-03-17,8.877,8.877,8.877,8.877,0,0
1993-03-18,8.8906,8.8906,8.8906,8.8906,0,0
1993-03-19,8.9279,8.9279,8.9279,8.9279,0,0
1993-03-22,8.9231,8.9231,8.9231,8.9231,0,0
1993-03-23,8.9196,8.9196,8.9196,8.9196,0,0
1993-03-24,8.923,8.923,8.923,8.923,0,0
1993-03-25,8.9008,8.9008,8.9008,8.9008,0,0
1993-03-26,8.9111,8.9111,8.9111,8.9111,0,0
1993-03-29,8.8991,8.8991,8.8991,8.8991,0,0
1993-03-30,8.9043,8.9043,8.9043,8.9043,0,0
1993-03-31,8.9383,8.9383,8.9383,8.9383,0,0
1993-04-01,8.9094,8.9094,8.9094,8.9094,0,0
1993-04-02,8.8838,8.8838,8.8838,8.8838,0,0
1993-04-05,8.8975,8.8975,8.8975,8.8975,0,0
1993-04-06,8.8342,8.8342,8.8342,8.8342,0,0
1993-04-07,8.8343,8.8343,8.8343,8.8343,0,0
1993-04-08,8.8821,8.8821,8.8821,8.8821,0,0
1993-04-09,8.8855,8.8855,8.8855,8.8855,0,0
1993-04-13,8.9383,8.9383,8.9383,8.9383,0,0
1993-04-14,8.8992,8.8992,8.8992,8.8992,0,0
1993-04-15,8.8786,8.8786,8.8786,8.8786,0,0
1993-04-16,8.8275,8.8275,8.8275,8.8275,0,0
1993-04-19,8.8685,8.8685,8.8685,8.8685,0,0
1993-04-20,8.9109,8.9109,8.9109,8.9109,0,0
1993-04-21,8.8668,8.8668,8.8668,8.8668,0,0
1993-04-22,8.8787,8.8787,8.8787,8.8787,0,0
1993-04-23,8.8906,8.8906,8.8906,8.8906,0,0
1993-04-26,8.9312,8.9312,8.9312,8.9312,0,0
1993-04-27,8.9197,8.9197,8.9197,8.9197,0,0
1993-04-28,8.9111,8.9111,8.9111,8.9111,0,0
1993-04-29,8.9194,8.9194,8.9194,8.9194,0,0
1993-04-30,8.9025,8.9025,8.9025,8.9025,0,0
1993-05-04,8.9025,8.9025,8.9025,8.9025,0,0
1993-05-05,8.8923,8.8923,8.8923,8.8923,0,0
1993-05-06,8.9008,8.9008,8.9008,8.9008,0,0
1993-05-07,8.9076,8.9076,8.9076,8.9076,0,0
1993-05-10,8.8346,8.8346,8.8346,8.8346,0,0
1993-05-11,8.8516,8.8516,8.8516,8.8516,0,0
1993-05-12,8.8367,8.8367,8.8367,8.8367,0,0
1993-05-13,8.8686,8.8686,8.8686,8.8686,0,0
1993-05-14,8.8854,8.8854,8.8854,8.8854,0,0
1993-05-17,8.872,8.872,8.872,8.872,0,0
1993-05-18,8.8468,8.8468,8.8468,8.8468,0,0
