Date,Open,High,Low,Close,Volume,OpenInt
1983-01-03,14.18,14.18,14.18,14.18,0,0
1983-01-04,14.04,14.04,14.04,14.04,0,0
1983-01-05,14.07,14.07,14.07,14.07,0,0
1983-01-06,14.14,14.14,14.14,14.14,0,0
1983-01-07,14.45,14.45,14.45,14.45,0,0
1983-01-10,14.69,14.69,14.69,14.69,0,0
1983-01-11,14.92,14.92,14.92,14.92,0,0
1983-01-12,15,15,15,15,0,0
1983-01-13,15.38,15.38,15.38,15.38,0,0
1983-01-14,15.6,15.6,15.6,15.6,0,0
1983-01-17,15.99,15.99,15.99,15.99,0,0
1983-01-18,15.87,15.87,15.87,15.87,0,0
1983-01-19,15.76,15.76,15.76,15.76,0,0
1983-01-20,15.54,15.54,15.54,15.54,0,0
1983-01-21,15.57,15.57,15.57,15.57,0,0
1983-01-24,15.66,15.66,15.66,15.66,0,0
1983-01-25,15.37,15.37,15.37,15.37,0,0
1983-01-26,15.66,15.66,15.66,15.66,0,0
1983-01-27,16.18,16.18,16.18,16.18,0,0
1983-01-28,16.29,16.29,16.29,16.29,0,0
1983-01-31,16.43,16.43,16.43,16.43,0,0
1983-02-01,16.57,16.57,16.57,16.57,0,0
1983-02-02,17,17,17,17,0,0
1983-02-03,17.25,17.25,17.25,17.25,0,0
1983-02-04,17.22,17.22,17.22,17.22,0,0
1983-02-07,17.38,17.38,17.38,17.38,0,0
1983-02-08,17.3,17.3,17.3,17.3,0,0
1983-02-09,17.3,17.3,17.3,17.3,0,0
1983-02-10,17.31,17.31,17.31,17.31,0,0
1983-02-11,17.5,17.5,17.5,17.5,0,0
1983-02-14,17.7,17.7,17.7,17.7,0,0
1983-02-15,18.23,18.23,18.23,18.23,0,0
1983-02-16,18.47,18.47,18.47,18.47,0,0
1983-02-17,18.61,18.61,18.61,18.61,0,0
1983-02-18,18.77,18.77,18.77,18.77,0,0
1983-02-21,18.62,18.62,18.62,18.62,0,0
1983-02-22,18.25,18.25,18.25,18.25,0,0
1983-02-23,17.77,17.77,17.77,17.77,0,0
1983-02-24,17.73,17.73,17.73,17.73,0,0
1983-02-25,17.92,17.92,17.92,17.92,0,0
1983-02-28,17.87,17.87,17.87,17.87,0,0
1983-03-01,17.5,17.5,17.5,17.5,0,0
1983-03-02,17.45,17.45,17.45,17.45,0,0
1983-03-03,17.89,17.89,17.89,17.89,0,0
1983-03-04,18.35,18.35,18.35,18.35,0,0
1983-03-07,18.7,18.7,18.7,18.7,0,0
1983-03-08,18.8,18.8,18.8,18.8,0,0
1983-03-09,18.32,18.32,18.32,18.32,0,0
1983-03-10,18.67,18.67,18.67,18.67,0,0
1983-03-11,18.49,18.49,18.49,18.49,0,0
1983-03-14,18.46,18.46,18.46,18.46,0,0
1983-03-15,18.49,18.49,18.49,18.49,0,0
1983-03-16,18.65,18.65,18.65,18.65,0,0
1983-03-17,18.54,18.54,18.54,18.54,0,0
1983-03-18,18.44,18.44,18.44,18.44,0,0
1983-03-21,18.45,18.45,18.45,18.45,0,0
1983-03-22,18.69,18.69,18.69,18.69,0,0
1983-03-23,18.64,18.64,18.64,18.64,0,0
1983-03-24,18.79,18.79,18.79,18.79,0,0
1983-03-25,18.9,18.9,18.9,18.9,0,0
1983-03-28,18.92,18.92,18.92,18.92,0,0
1983-03-29,19.04,19.04,19.04,19.04,0,0
1983-03-30,19.16,19.16,19.16,19.16,0,0
1983-03-31,19.16,19.16,19.16,19.16,0,0
1983-04-01,19.16,19.16,19.16,19.16,0,0
