Date,Open,High,Low,Close,Volume,OpenInt
1989-01-03,13,13,13,13,0,0
1989-01-04,12.984,12.984,12.984,12.984,0,0
1989-01-05,13.063,13.063,13.063,13.063,0,0
1989-01-06,13.031,13.031,13.031,13.031,0,0
1989-01-09,12.938,12.938,12.938,12.938,0,0
1989-01-10,12.875,12.875,12.875,12.875,0,0
1989-01-11,12.875,12.875,12.875,12.875,0,0
1989-01-12,12.844,12.844,12.844,12.844,0,0
1989-01-13,12.953,12.953,12.953,12.953,0,0
1989-01-16,12.844,12.844,12.844,12.844,0,0
1989-01-17,12.75,12.75,12.75,12.75,0,0
1989-01-18,12.75,12.75,12.75,12.75,0,0
1989-01-19,12.688,12.688,12.688,12.688,0,0
1989-01-20,12.625,12.625,12.625,12.625,0,0
1989-01-23,12.563,12.563,12.563,12.563,0,0
1989-01-24,12.5,12.5,12.5,12.5,0,0
1989-01-25,12.5,12.5,12.5,12.5,0,0
1989-01-26,12.531,12.531,12.531,12.531,0,0
1989-01-27,12.609,12.609,12.609,12.609,0,0
1989-01-30,12.438,12.438,12.438,12.438,0,0
1989-01-31,12.563,12.563,12.563,12.563,0,0
1989-02-01,12.516,12.516,12.516,12.516,0,0
1989-02-02,12.563,12.563,12.563,12.563,0,0
1989-02-03,12.453,12.453,12.453,12.453,0,0
1989-02-06,12.375,12.375,12.375,12.375,0,0
1989-02-07,12.5,12.5,12.5,12.5,0,0
1989-02-08,12.5,12.5,12.5,12.5,0,0
1989-02-09,12.5,12.5,12.5,12.5,0,0
1989-02-10,12.563,12.563,12.563,12.563,0,0
1989-02-13,12.625,12.625,12.625,12.625,0,0
1989-02-14,12.688,12.688,12.688,12.688,0,0
1989-02-15,12.75,12.75,12.75,12.75,0,0
1989-02-16,12.75,12.75,12.75,12.75,0,0
1989-02-17,12.703,12.703,12.703,12.703,0,0
1989-02-20,12.75,12.75,12.75,12.75,0,0
1989-02-21,12.75,12.75,12.75,12.75,0,0
1989-02-22,12.938,12.938,12.938,12.938,0,0
1989-02-23,13.063,13.063,13.063,13.063,0,0
1989-02-24,13,13,13,13,0,0
1989-02-27,13.313,13.313,13.313,13.313,0,0
1989-02-28,13.25,13.25,13.25,13.25,0,0
1989-03-01,13.125,13.125,13.125,13.125,0,0
1989-03-02,13.281,13.281,13.281,13.281,0,0
1989-03-03,13,13,13,13,0,0
1989-03-06,12.891,12.891,12.891,12.891,0,0
1989-03-07,12.813,12.813,12.813,12.813,0,0
1989-03-08,12.875,12.875,12.875,12.875,0,0
1989-03-09,12.875,12.875,12.875,12.875,0,0
1989-03-10,12.875,12.875,12.875,12.875,0,0
1989-03-13,12.938,12.938,12.938,12.938,0,0
1989-03-14,13,13,13,13,0,0
1989-03-15,12.875,12.875,12.875,12.875,0,0
1989-03-16,12.875,12.875,12.875,12.875,0,0
1989-03-17,13.016,13.016,13.016,13.016,0,0
1989-03-20,13.125,13.125,13.125,13.125,0,0
1989-03-21,13,13,13,13,0,0
1989-03-22,12.875,12.875,12.875,12.875,0,0
1989-03-23,12.875,12.875,12.875,12.875,0,0
1989-03-28,12.875,12.875,12.875,12.875,0,0
1989-03-29,12.938,12.938,12.938,12.938,0,0
1989-03-30,12.875,12.875,12.875,12.875,0,0
1989-03-31,12.938,12.938,12.938,12.938,0,0
1989-04-03,13,13,13,13,0,0
1989-04-04,13,13,13,13,0,0
1989-04-05,13,13,13,13,0,0
1989-04-06,13.063,13.063,13.063,13.063,0,0
1989-04-07,13.125,13.125,13.125,13.125,0,0
1989-04-10,13.313,13.313,13.313,13.313,0,0
1989-04-11,13.313,13.313,13.313,13.313,0,0
1989-04-12,13.375,13.375,13.375,13.375,0,0
1989-04-13,13.344,13.344,13.344,13.344,0,0
1989-04-14,13.438,13.438,13.438,13.438,0,0
1989-04-17,13.188,13.188,13.188,13.188,0,0
1989-04-18,13.063,13.063,13.063,13.063,0,0
1989-04-19,13.063,13.063,13.063,13.063,0,0
1989-04-20,13,13,13,13,0,0
1989-04-21,13.563,13.563,13.563,13.563,0,0
1989-04-24,13.375,13.375,13.375,13.375,0,0
1989-04-25,13.375,13.375,13.375,13.375,0,0
1989-04-26,13.25,13.25,13.25,13.25,0,0
1989-04-27,13,13,13,13,0,0
1989-04-28,12.938,12.938,12.938,12.938,0,0
1989-05-02,13.047,13.047,13.047,13.047,0,0
1989-05-03,13,13,13,13,0,0
1989-05-04,12.938,12.938,12.938,12.938,0,0
1989-05-05,12.938,12.938,12.938,12.938,0,0
1989-05-08,12.875,12.875,12.875,12.875,0,0
1989-05-09,12.938,12.938,12.938,12.938,0,0
1989-05-10,13.047,13.047,13.047,13.047,0,0
1989-05-11,13,13,13,13,0,0
1989-05-12,13,13,13,13,0,0
1989-05-15,12.875,12.875,12.875,12.875,0,0
1989-05-16,12.891,12.891,12.891,12.891,0,0
1989-05-17,13,13,13,13,0,0
1989-05-18,13,13,13,13,0,0
1989-05-19,12.938,12.938,12.938,12.938,0,0
1989-05-22,13.188,13.188,13.188,13.188,0,0
1989-05-23,13.375,13.375,13.375,13.375,0,0
1989-05-24,13.688,13.688,13.688,13.688,0,0
1989-05-25,13.813,13.813,13.813,13.813,0,0
1989-05-26,13.75,13.75,13.75,13.75,0,0
1989-05-30,13.813,13.813,13.813,13.813,0,0
1989-05-31,14.125,14.125,14.125,14.125,0,0
1989-06-01,14.125,14.125,14.125,14.125,0,0
1989-06-02,13.938,13.938,13.938,13.938,0,0
1989-06-05,14,14,14,14,0,0
1989-06-06,14.125,14.125,14.125,14.125,0,0
1989-06-07,14,14,14,14,0,0
1989-06-08,14,14,14,14,0,0
1989-06-09,14,14,14,14,0,0
1989-06-12,14.25,14.25,14.25,14.25,0,0
1989-06-13,14.563,14.563,14.563,14.563,0,0
1989-06-14,14.563,14.563,14.563,14.563,0,0
1989-06-15,14.594,14.594,14.594,14.594,0,0
1989-06-16,14.375,14.375,14.375,14.375,0,0
1989-06-19,14.328,14.328,14.328,14.328,0,0
1989-06-20,14.063,14.063,14.063,14.063,0,0
1989-06-21,14.25,14.25,14.25,14.25,0,0
1989-06-22,14.25,14.25,14.25,14.25,0,0
1989-06-23,14.359,14.359,14.359,14.359,0,0
1989-06-26,14.344,14.344,14.344,14.344,0,0
1989-06-27,14.375,14.375,14.375,14.375,0,0
1989-06-28,13.938,13.938,13.938,13.938,0,0
1989-06-29,14.063,14.063,14.063,14.063,0,0
1989-06-30,14.188,14.188,14.188,14.188,0,0
1989-07-03,14.063,14.063,14.063,14.063,0,0
1989-07-04,13.953,13.953,13.953,13.953,0,0
1989-07-05,13.938,13.938,13.938,13.938,0,0
1989-07-06,14,14,14,14,0,0
1989-07-07,13.938,13.938,13.938,13.938,0,0
1989-07-10,14,14,14,14,0,0
1989-07-11,13.875,13.875,13.875,13.875,0,0
1989-07-12,13.813,13.813,13.813,13.813,0,0
1989-07-13,13.813,13.813,13.813,13.813,0,0
1989-07-14,13.688,13.688,13.688,13.688,0,0
1989-07-17,13.563,13.563,13.563,13.563,0,0
1989-07-18,13.5,13.5,13.5,13.5,0,0
1989-07-19,13.625,13.625,13.625,13.625,0,0
1989-07-20,13.625,13.625,13.625,13.625,0,0
