Date,Open,High,Low,Close,Volume,OpenInt
2016-02-16,958.1,962.97,958.1,962.97,18189507,0
2016-02-17,954.13,954.13,951.18,951.18,16555879,0
2016-02-18,950.1,954.3,950.1,954.3,16596126,0
2016-02-19,949.77,952.37,949.77,952.37,14876280,0
2016-02-22,949.9,949.9,946.01,946.01,15017643,0
2016-02-23,940.33,943.5,940.33,943.5,11470311,0
2016-02-24,939.93,941.84,939.93,941.84,12668608,0
2016-02-25,938.49,944.19,938.49,944.19,9734256,0
2016-02-26,945.21,946.63,945.21,946.63,31262264,0
2016-02-29,944.74,944.74,944.63,944.63,8321065,0
2016-03-01,940.69,947.64,940.69,947.64,9349623,0
2016-03-02,943.34,949.12,943.34,949.12,11284864,0
2016-03-03,945.44,948.79,945.44,948.79,11786881,0
2016-03-04,945.78,954.27,945.78,954.27,29843194,0
2016-03-07,952.75,954.46,952.75,954.46,9491800,0
2016-03-08,952.39,954.32,952.39,954.32,14254784,0
2016-03-09,951.26,951.49,951.26,951.49,17780654,0
2016-03-10,950.05,955,950.05,955,15595112,0
2016-03-11,948.33,952.91,948.33,952.91,37004401,0
2016-03-14,948.65,949.26,948.65,949.26,16454038,0
2016-03-15,948.73,949.84,948.73,949.84,24771921,0
2016-03-16,947.66,947.66,947.57,947.57,9558874,0
2016-03-17,945.3,950.62,945.3,950.62,19689678,0
2016-03-18,950.85,955.76,950.85,955.76,7888480,0
2016-03-21,951.77,953.25,951.77,953.25,8792416,0
2016-03-22,950.63,950.63,949.72,949.72,16728268,0
2016-03-23,941.18,947.13,941.18,947.13,7908489,0
2016-03-24,944.18,950.27,944.18,950.27,7537471,0
2016-03-29,944.76,956.02,944.76,956.02,10701248,0
2016-03-30,952.52,958.84,952.52,958.84,11386470,0
2016-03-31,955.05,959.82,955.05,959.82,21028519,0
2016-04-01,960.06,967.98,960.06,967.98,12165328,0
2016-04-04,964.27,965.85,964.27,965.85,16634520,0
2016-04-05,960.18,961.31,960.18,961.31,8934900,0
2016-04-06,956.9,962.85,956.9,962.85,11924348,0
2016-04-07,955.9,964.4,955.9,964.4,15471893,0
2016-04-08,962.41,971.17,962.41,971.17,19152752,0
2016-04-11,968.98,971.99,968.98,971.99,11580061,0
2016-04-12,971.22,977.16,971.22,977.16,18294925,0
